i,suite,case,FILE_COUNT,SEED,SIZE,NO_SET,FS,DISK_SIZE,BLOCK_SIZE,DISK_GEOMETRY,SKIP_WARMUP,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,heap,25080640,0,0,0,0,0,0,784,279.231754
35,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,usage,25080640,0,0,0,0,0,0,34078720,279.231786
36,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,write,16376896,60398753692,587438,21056,60398753692,79369807,86245376,3600000266813,367.238346
36,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,stack,16376896,0,0,0,0,0,0,3248,367.238429
36,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,ctx,16376896,0,0,0,0,0,0,848,367.238466
36,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,heap,16376896,0,0,0,0,0,0,784,367.238497
36,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,262144,0,0,0,64,64,3600000000000,0,usage,16376896,0,0,0,0,0,0,34603008,367.238524
37,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,write,9793024,70560981463,386257,13824,70560981463,50351053,56623104,3600009589967,413.846688
37,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,stack,9793024,0,0,0,0,0,0,3248,413.846762
37,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,ctx,9793024,0,0,0,0,0,0,848,413.846797
37,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,heap,9793024,0,0,0,0,0,0,784,413.846824
37,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,usage,9793024,0,0,0,0,0,0,35651584,413.846852
38,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,write,5832512,78100714032,266958,8192,78100714032,30626579,33554432,3600056826857,473.681730
38,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,stack,5832512,0,0,0,0,0,0,3248,473.681800
