i,suite,case,SKIP_WARMUP,CHUNK,NO_SET,DISK_GEOMETRY,FILE_SIZE,SEED,FS,PROG_SIZE,FILE_COUNT,DISK_SIZE,NO_FRUNCATE,SIZE,SIM_TIME,CRYSTAL_THRESH,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,ctx,12834752,0,0,0,0,0,0,608,39.552183
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,heap,12834752,0,0,0,0,0,0,784,39.552227
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,usage,12834752,0,0,0,0,0,0,7741440,39.552270
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,write,9407296,1132450855,1057742,69477,1132450855,270781952,284577792,3600046705176,42.448871
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,stack,9407296,0,0,0,0,0,0,3312,42.448961
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,ctx,9407296,0,0,0,0,0,0,608,42.449005
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,heap,9407296,0,0,0,0,0,0,784,42.449042
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,usage,9407296,0,0,0,0,0,0,7729152,42.449076
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,write,5461376,986007373,1010846,70030,986007373,258776576,286842880,3600080717832,47.387378
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,stack,5461376,0,0,0,0,0,0,3248,47.387464
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,ctx,5461376,0,0,0,0,0,0,608,47.387506
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,heap,5461376,0,0,0,0,0,0,1296,47.387539
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,usage,5461376,0,0,0,0,0,0,7368704,47.387571
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,write,2700672,754639044,917604,71077,754639044,234906624,291131392,3600177313440,61.412880
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,stack,2700672,0,0,0,0,0,0,3328,61.412982
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,ctx,2700672,0,0,0,0,0,0,608,61.413027
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,heap,2700672,0,0,0,0,0,0,2320,61.413065
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1024,32768,134217728,0,2097152,3600000000000,-1,0,usage,2700672,0,0,0,0,0,0,6021120,61.413101
