i,suite,case,FS,SEED,SKIP_WARMUP,NO_SET,SIZE,CHUNK,SIM_SIZE,DISK_SIZE,BLOCK_SIZE,NO_FRUNCATE,FILE_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,usage,45625280,0,0,0,0,0,0,34537472,146.008185
34,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,write,35531840,35100305988,1139212,38608,35100305988,149951886,158138368,3600000055338,258.078282
34,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,stack,35531840,0,0,0,0,0,0,3488,258.078378
34,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,ctx,35531840,0,0,0,0,0,0,848,258.078426
34,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,heap,35531840,0,0,0,0,0,0,784,258.078467
34,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,usage,35531840,0,0,0,0,0,0,34209792,258.078506
35,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,write,25080640,48020617685,843278,29792,48020617685,113741812,122028032,3601004900964,280.806448
35,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,stack,25080640,0,0,0,0,0,0,3488,280.806539
35,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,ctx,25080640,0,0,0,0,0,0,848,280.806590
35,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,heap,25080640,0,0,0,0,0,0,784,280.806629
35,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,usage,25080640,0,0,0,0,0,0,34078720,280.806664
36,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,write,16376896,60398753692,587438,21056,60398753692,79369807,86245376,3600000266813,403.899310
36,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,stack,16376896,0,0,0,0,0,0,3248,403.899405
36,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,ctx,16376896,0,0,0,0,0,0,848,403.907947
36,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,heap,16376896,0,0,0,0,0,0,784,403.908000
36,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,usage,16376896,0,0,0,0,0,0,34603008,403.908036
37,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,write,9793024,70560981463,386257,13824,70560981463,50351053,56623104,3600009589967,411.682462
37,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,stack,9793024,0,0,0,0,0,0,3248,411.682537
37,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,ctx,9793024,0,0,0,0,0,0,848,411.682570
