i,suite,case,SIM_SIZE,NO_FRUNCATE,SKIP_WARMUP,NO_SET,FILE_COUNT,SEED,DISK_SIZE,FS,PROG_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
26,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,usage,7507456,0,0,0,0,0,0,4546560,19.994784
33,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,write,4069568,1096081191,1002812,70005,1096081191,256719872,286740480,3600104998424,19.984659
33,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,stack,4069568,0,0,0,0,0,0,3152,19.984747
33,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,ctx,4069568,0,0,0,0,0,0,512,19.984799
33,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,heap,4069568,0,0,0,0,0,0,784,19.984846
33,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,usage,4069568,0,0,0,0,0,0,4595712,19.984891
31,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,write,6292032,1016135585,1714423,63758,1016135585,232450496,261152768,3600074938216,20.031612
31,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,stack,6292032,0,0,0,0,0,0,3152,20.031686
31,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,ctx,6292032,0,0,0,0,0,0,512,20.031729
31,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,heap,6292032,0,0,0,0,0,0,784,20.031762
31,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,usage,6292032,0,0,0,0,0,0,4521984,20.031788
27,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,write,7277760,1015198063,2049946,60782,1015198063,220837232,248963072,3600152932008,20.268893
27,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4,64,0,3600000000000,2097152,64,stack,7277760,0,0,0,0,0,0,3152,20.268965
