i,suite,case,FILE_SIZE,SIZE,SIM_TIME,FILE_COUNT,SIM_SIZE,NO_SET,NO_FRUNCATE,DISK_SIZE,SEED,SKIP_WARMUP,DISK_GEOMETRY,READ_SIZE,CHUNK,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,write,15673216,60179582,3539926,16029,61623891968,1812442112,2100953088,3600249801728,53.244312
35,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,stack,15673216,0,0,0,0,0,0,3072,53.244406
35,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,ctx,15673216,0,0,0,0,0,0,608,53.244452
35,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,heap,15673216,0,0,0,0,0,0,2576,53.244489
35,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,usage,15673216,0,0,0,0,0,0,4849664,53.244526
34,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,write,17734208,73655198,4002551,18132,37711461376,2049306112,2376597504,3601315073536,55.999140
34,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,stack,17734208,0,0,0,0,0,0,3072,55.999231
34,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,ctx,17734208,0,0,0,0,0,0,608,55.999273
34,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,heap,17734208,0,0,0,0,0,0,1552,55.999307
34,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,usage,17734208,0,0,0,0,0,0,6291456,55.999339
32,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,write,18499392,90571365,4175908,18916,13333452800,2138064896,2479357952,3600406740992,56.384526
32,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,stack,18499392,0,0,0,0,0,0,3072,56.384608
32,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,ctx,18499392,0,0,0,0,0,0,608,56.384646
32,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,heap,18499392,0,0,0,0,0,0,1296,56.384677
32,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,usage,18499392,0,0,0,0,0,0,5767168,56.384706
