i,suite,case,READ_SIZE,SIM_TIME,FS,NO_FRUNCATE,NO_SET,SIM_SIZE,CHUNK,SKIP_WARMUP,DISK_GEOMETRY,FILE_SIZE,FILE_COUNT,DISK_SIZE,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,16669888,0,0,0,0,0,0,3120,53.369587
30,bench_p26_wt,bench_p26_wt_random,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,16669888,0,0,0,0,0,0,608,53.369635
30,bench_p26_wt,bench_p26_wt_random,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,16669888,0,0,0,0,0,0,1296,53.369677
30,bench_p26_wt,bench_p26_wt_random,32,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,16669888,0,0,0,0,0,0,4718592,53.369719
32,bench_p26_wt,bench_p26_wt_random,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,18499392,90571365,4175908,18916,13333452800,2138064896,2479357952,3600406740992,53.790925
32,bench_p26_wt,bench_p26_wt_random,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,stack,18499392,0,0,0,0,0,0,3072,53.791012
32,bench_p26_wt,bench_p26_wt_random,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,ctx,18499392,0,0,0,0,0,0,608,53.791054
32,bench_p26_wt,bench_p26_wt_random,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,heap,18499392,0,0,0,0,0,0,1296,53.791089
32,bench_p26_wt,bench_p26_wt_random,128,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,usage,18499392,0,0,0,0,0,0,5767168,53.791121
34,bench_p26_wt,bench_p26_wt_random,512,3600000000000,33,0,1,0,64,0,1,64,32768,134217728,42,2097152,write,17734208,73655198,4002551,18132,37711461376,2049306112,2376597504,3601315073536,54.650055
