i,suite,case,NO_FRUNCATE,CHUNK,DISK_GEOMETRY,SKIP_WARMUP,CRYSTAL_THRESH,SIZE,NO_SET,FILE_COUNT,SEED,SIM_SIZE,PROG_SIZE,FS,SIM_TIME,FILE_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
26,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,stack,44843648,0,0,0,0,0,0,3312,48.009478
26,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,ctx,44843648,0,0,0,0,0,0,608,48.009541
26,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,heap,44843648,0,0,0,0,0,0,784,48.009595
26,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,usage,44843648,0,0,0,0,0,0,7995392,48.009648
25,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,write,44387520,101861260,4135899,5829,1974885137,754393757,764018688,3600038085610,48.064474
25,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,stack,44387520,0,0,0,0,0,0,3312,48.064585
25,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,ctx,44387520,0,0,0,0,0,0,608,48.064658
25,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,heap,44387520,0,0,0,0,0,0,784,48.064718
25,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,1,31,3600000000000,64,134217728,usage,44387520,0,0,0,0,0,0,8126464,48.064770
28,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,write,44591744,101342733,4181540,5960,2011852980,772745984,781189120,3600007081564,48.491258
28,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,stack,44591744,0,0,0,0,0,0,3312,48.491364
28,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,ctx,44591744,0,0,0,0,0,0,608,48.491463
28,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,heap,44591744,0,0,0,0,0,0,784,48.491524
28,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,8,31,3600000000000,64,134217728,usage,44591744,0,0,0,0,0,0,7864320,48.491573
29,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,write,44943808,101366808,4177528,6009,2021248158,779810256,787611648,3600005393962,49.025297
29,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,stack,44943808,0,0,0,0,0,0,3312,49.025402
29,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,ctx,44943808,0,0,0,0,0,0,608,49.025455
29,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,heap,44943808,0,0,0,0,0,0,784,49.025505
29,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,16,31,3600000000000,64,134217728,usage,44943808,0,0,0,0,0,0,8126464,49.025551
27,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,write,44747840,101391079,4178452,5917,2001348594,765763728,775553024,3600006889894,49.806778
27,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,4,31,3600000000000,64,134217728,stack,44747840,0,0,0,0,0,0,3312,49.806884
