i,suite,case,SEED,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,SIZE,FS,FILE_COUNT,FILE_SIZE,NO_SET,CHUNK,SKIP_WARMUP,PROG_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,stack,6594560,0,0,0,0,0,0,3296,18.146621
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,ctx,6594560,0,0,0,0,0,0,608,18.146675
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,heap,6594560,0,0,0,0,0,0,784,18.146724
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,usage,6594560,0,0,0,0,0,0,4792320,18.146773
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,18.242356
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,stack,7800256,0,0,0,0,0,0,3296,18.242459
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,ctx,7800256,0,0,0,0,0,0,608,18.242515
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,heap,7800256,0,0,0,0,0,0,784,18.242563
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1,0,usage,7800256,0,0,0,0,0,0,4820992,18.242611
29,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,16,0,write,6879104,874045958,1971380,61606,874045958,222634848,252338176,3600183438608,18.453843
