i,suite,case,SKIP_WARMUP,READ_SIZE,DISK_SIZE,FILE_SIZE,FS,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,SIZE,FILE_COUNT,NO_SET,SEED,SIM_TIME,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,7850432,1126824660,2021744,60934,1126824660,218053284,249585664,3600120486732,22.644882
27,bench_p26_wt,bench_p26_wt_random,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,7850432,0,0,0,0,0,0,3152,22.644963
27,bench_p26_wt,bench_p26_wt_random,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,7850432,0,0,0,0,0,0,512,22.645001
27,bench_p26_wt,bench_p26_wt_random,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,7850432,0,0,0,0,0,0,784,22.645033
27,bench_p26_wt,bench_p26_wt_random,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,7850432,0,0,0,0,0,0,4624384,22.645061
26,bench_p26_wt,bench_p26_wt_random,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,7856640,1052361374,2023388,60988,1052361374,218231767,249806848,3600233084325,22.666259
26,bench_p26_wt,bench_p26_wt_random,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,7856640,0,0,0,0,0,0,3152,22.666323
26,bench_p26_wt,bench_p26_wt_random,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,7856640,0,0,0,0,0,0,512,22.666360
26,bench_p26_wt,bench_p26_wt_random,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,7856640,0,0,0,0,0,0,784,22.666390
26,bench_p26_wt,bench_p26_wt_random,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,7856640,0,0,0,0,0,0,4616192,22.666418
37,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,6243200,19541385216,1597226,48357,19541385216,172479707,198070272,3600027376193,6.190788
37,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,6243200,0,0,0,0,0,0,3152,6.190916
37,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,6243200,0,0,0,0,0,0,512,6.190950
37,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,6243200,0,0,0,0,0,0,8464,6.190977
37,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,6243200,0,0,0,0,0,0,4517888,6.191002
49,bench_p26_wt,bench_p26_wt_many,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,32943936,46221139968,959791,30333,46221139968,114954982,124243968,3600013229074,49.856336
49,bench_p26_wt,bench_p26_wt_many,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,32943936,0,0,0,0,0,0,3312,49.856459
49,bench_p26_wt,bench_p26_wt_many,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,32943936,0,0,0,0,0,0,752,49.856516
49,bench_p26_wt,bench_p26_wt_many,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,32943936,0,0,0,0,0,0,4368,49.856578
49,bench_p26_wt,bench_p26_wt_many,0,2048,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,32943936,0,0,0,0,0,0,31838208,49.856626
48,bench_p26_wt,bench_p26_wt_many,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,34154624,44812475392,993331,31285,44812475392,118891901,128143360,3600000461127,53.393777
48,bench_p26_wt,bench_p26_wt_many,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,34154624,0,0,0,0,0,0,3312,53.393880
48,bench_p26_wt,bench_p26_wt_many,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,34154624,0,0,0,0,0,0,752,53.393936
48,bench_p26_wt,bench_p26_wt_many,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,34154624,0,0,0,0,0,0,2320,53.393985
48,bench_p26_wt,bench_p26_wt_many,0,1024,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,34154624,0,0,0,0,0,0,31838208,53.394031
47,bench_p26_wt,bench_p26_wt_many,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,41162752,36251435520,1188593,37149,36251435520,142031687,152162304,3600000434501,63.294870
47,bench_p26_wt,bench_p26_wt_many,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,41162752,0,0,0,0,0,0,3312,63.294980
47,bench_p26_wt,bench_p26_wt_many,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,41162752,0,0,0,0,0,0,752,63.295036
47,bench_p26_wt,bench_p26_wt_many,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,41162752,0,0,0,0,0,0,1296,63.295085
47,bench_p26_wt,bench_p26_wt_many,0,512,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,41162752,0,0,0,0,0,0,31838208,63.295129
45,bench_p26_wt,bench_p26_wt_many,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,54609728,19948712192,1562869,48294,19948712192,186278059,197812224,3600000510897,70.805279
