i,suite,case,NO_FRUNCATE,DISK_SIZE,FS,SEED,SIM_SIZE,CHUNK,BLOCK_SIZE,SKIP_WARMUP,NO_SET,FILE_COUNT,SIZE,SIM_TIME,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,write,18277248,133931073,379623,3093,10891223586,194366976,202702848,3600007897734,88.268975
34,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,stack,18277248,0,0,0,0,0,0,3200,88.269077
34,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,ctx,18277248,0,0,0,0,0,0,752,88.269129
34,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,heap,18277248,0,0,0,0,0,0,1296,88.269173
34,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,usage,18277248,0,0,0,0,0,0,34406400,88.269215
35,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,write,13789120,131514613,286488,1176,15327239749,146681856,154140672,3600000495391,109.969524
35,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,stack,13789120,0,0,0,0,0,0,3200,109.969623
35,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,ctx,13789120,0,0,0,0,0,0,752,109.969669
35,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,heap,13789120,0,0,0,0,0,0,1296,109.969709
35,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,131072,0,0,32768,2097152,3600000000000,1,64,usage,13789120,0,0,0,0,0,0,34209792,109.969748
