i,suite,case,DISK_SIZE,SEED,FILE_COUNT,NO_SET,SKIP_WARMUP,DISK_GEOMETRY,FS,READ_SIZE,SIM_SIZE,CHUNK,FILE_SIZE,SIZE,NO_FRUNCATE,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,32,0,64,64,2097152,0,3600000000000,heap,7726912,0,0,0,0,0,0,784,17.041636
30,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,32,0,64,64,2097152,0,3600000000000,usage,7726912,0,0,0,0,0,0,4784128,17.041684
25,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,17.552400
25,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,stack,7800256,0,0,0,0,0,0,3296,17.552497
25,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,ctx,7800256,0,0,0,0,0,0,608,17.552547
25,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,heap,7800256,0,0,0,0,0,0,784,17.552590
25,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,usage,7800256,0,0,0,0,0,0,4820992,17.552631
29,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,write,7765760,1289338592,2013395,60863,1289338592,217919850,249294848,3600082935518,17.902334
29,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,stack,7765760,0,0,0,0,0,0,3296,17.902428
29,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,ctx,7765760,0,0,0,0,0,0,608,17.902486
29,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,heap,7765760,0,0,0,0,0,0,784,17.902529
29,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,usage,7765760,0,0,0,0,0,0,4743168,17.902577
28,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,write,7780352,1104374752,2017548,60993,1104374752,218372903,249827328,3600204546789,19.061477
28,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,stack,7780352,0,0,0,0,0,0,3296,19.061558
28,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,ctx,7780352,0,0,0,0,0,0,608,19.061599
28,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,heap,7780352,0,0,0,0,0,0,784,19.061632
28,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,8,0,64,64,2097152,0,3600000000000,usage,7780352,0,0,0,0,0,0,4767744,19.061664
26,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,write,7794240,912798084,2021794,61124,912798084,218838369,250363904,3600144091347,19.481169
26,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,stack,7794240,0,0,0,0,0,0,3296,19.481246
26,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,ctx,7794240,0,0,0,0,0,0,608,19.481284
26,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,heap,7794240,0,0,0,0,0,0,784,19.481313
26,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,2,0,64,64,2097152,0,3600000000000,usage,7794240,0,0,0,0,0,0,4804608,19.481341
27,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,write,7789696,973822824,2020292,61083,973822824,218680698,250195968,3600136148046,20.019446
27,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,stack,7789696,0,0,0,0,0,0,3296,20.019521
27,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,ctx,7789696,0,0,0,0,0,0,608,20.019556
27,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,heap,7789696,0,0,0,0,0,0,784,20.019584
27,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,4,0,64,64,2097152,0,3600000000000,usage,7789696,0,0,0,0,0,0,4816896,20.019609
