i,suite,case,SIM_TIME,READ_SIZE,DISK_GEOMETRY,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,FILE_COUNT,CHUNK,NO_FRUNCATE,FS,NO_SET,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,18072512,0,0,0,0,0,0,4849664,49.675478
30,bench_p26_wt,bench_p26_wt_random,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,16657152,100749344,3762382,17041,6020241504,1926339584,2233597952,3600558605088,51.885197
30,bench_p26_wt,bench_p26_wt_random,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,16657152,0,0,0,0,0,0,3008,51.885290
30,bench_p26_wt,bench_p26_wt_random,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,16657152,0,0,0,0,0,0,512,51.885334
30,bench_p26_wt,bench_p26_wt_random,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,16657152,0,0,0,0,0,0,1296,51.885370
30,bench_p26_wt,bench_p26_wt_random,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,16657152,0,0,0,0,0,0,5242880,51.885410
32,bench_p26_wt,bench_p26_wt_random,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,18463040,90653264,4166479,18868,13344306816,2133237248,2473066496,3600083727744,52.557981
32,bench_p26_wt,bench_p26_wt_random,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,18463040,0,0,0,0,0,0,2960,52.558068
32,bench_p26_wt,bench_p26_wt_random,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,18463040,0,0,0,0,0,0,512,52.558109
32,bench_p26_wt,bench_p26_wt_random,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,18463040,0,0,0,0,0,0,1296,52.558143
32,bench_p26_wt,bench_p26_wt_random,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,18463040,0,0,0,0,0,0,5373952,52.558174
34,bench_p26_wt,bench_p26_wt_random,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,17710016,73676353,3996252,18099,37722292736,2046081024,2372272128,3600340774400,52.618187
34,bench_p26_wt,bench_p26_wt_random,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,17710016,0,0,0,0,0,0,2960,52.618272
34,bench_p26_wt,bench_p26_wt_random,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,17710016,0,0,0,0,0,0,512,52.618316
34,bench_p26_wt,bench_p26_wt_random,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,17710016,0,0,0,0,0,0,1552,52.618354
34,bench_p26_wt,bench_p26_wt_random,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,17710016,0,0,0,0,0,0,5767168,52.618389
33,bench_p26_wt,bench_p26_wt_random,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,18096960,85053095,4083777,18497,21789623552,2090893824,2424438784,3600717460736,52.980079
33,bench_p26_wt,bench_p26_wt_random,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,18096960,0,0,0,0,0,0,2960,52.980160
33,bench_p26_wt,bench_p26_wt_random,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,18096960,0,0,0,0,0,0,512,52.980199
33,bench_p26_wt,bench_p26_wt_random,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,18096960,0,0,0,0,0,0,1296,52.980233
33,bench_p26_wt,bench_p26_wt_random,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,18096960,0,0,0,0,0,0,5111808,52.980266
37,bench_p26_wt,bench_p26_wt_random,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,8143616,48979382,1827357,8279,100309774336,935606784,1085145088,3600232820224,14.133331
37,bench_p26_wt,bench_p26_wt_random,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,8143616,0,0,0,0,0,0,2960,14.133404
37,bench_p26_wt,bench_p26_wt_random,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,8143616,0,0,0,0,0,0,512,14.133435
37,bench_p26_wt,bench_p26_wt_random,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,8143616,0,0,0,0,0,0,8720,14.133459
37,bench_p26_wt,bench_p26_wt_random,3600000000000,4096,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,8143616,0,0,0,0,0,0,4849664,14.133482
39,bench_p26_wt,bench_p26_wt_many,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,10503488,135127420,218236,902,11615194486,111736832,118226944,3600004147138,165.726532
39,bench_p26_wt,bench_p26_wt_many,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,10503488,0,0,0,0,0,0,3200,165.726673
39,bench_p26_wt,bench_p26_wt_many,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,10503488,0,0,0,0,0,0,752,165.726730
39,bench_p26_wt,bench_p26_wt_many,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,10503488,0,0,0,0,0,0,1296,165.726778
39,bench_p26_wt,bench_p26_wt_many,3600000000000,2,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,10503488,0,0,0,0,0,0,33947648,165.726824
40,bench_p26_wt,bench_p26_wt_many,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,11069504,134305922,230297,954,12507463764,117912064,125042688,3600001207356,170.749745
40,bench_p26_wt,bench_p26_wt_many,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,11069504,0,0,0,0,0,0,3200,170.749848
40,bench_p26_wt,bench_p26_wt_many,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,11069504,0,0,0,0,0,0,752,170.749908
40,bench_p26_wt,bench_p26_wt_many,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,11069504,0,0,0,0,0,0,1296,170.749963
40,bench_p26_wt,bench_p26_wt_many,3600000000000,4,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,11069504,0,0,0,0,0,0,34209792,170.750023
41,bench_p26_wt,bench_p26_wt_many,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,12413568,132684873,258080,1064,14213861792,132136960,139460608,3600012160736,192.176902
41,bench_p26_wt,bench_p26_wt_many,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,12413568,0,0,0,0,0,0,3200,192.177010
41,bench_p26_wt,bench_p26_wt_many,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,12413568,0,0,0,0,0,0,752,192.177063
41,bench_p26_wt,bench_p26_wt_many,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,12413568,0,0,0,0,0,0,1296,192.177109
41,bench_p26_wt,bench_p26_wt_many,3600000000000,8,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,12413568,0,0,0,0,0,0,34209792,192.177152
