i,suite,case,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,SIM_TIME,SEED,FILE_SIZE,FS,SIZE,CHUNK,SIM_SIZE,NO_SET,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_random,256,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,13253440,0,0,0,0,0,0,608,34.636566
33,bench_p26_wt,bench_p26_wt_random,256,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,13253440,0,0,0,0,0,0,784,34.636604
33,bench_p26_wt,bench_p26_wt_random,256,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,13253440,0,0,0,0,0,0,6029312,34.636642
34,bench_p26_wt,bench_p26_wt_random,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,37.642279
34,bench_p26_wt,bench_p26_wt_random,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,13076096,0,0,0,0,0,0,3120,37.642370
34,bench_p26_wt,bench_p26_wt_random,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,13076096,0,0,0,0,0,0,608,37.642413
34,bench_p26_wt,bench_p26_wt_random,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,13076096,0,0,0,0,0,0,1296,37.642451
34,bench_p26_wt,bench_p26_wt_random,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,13076096,0,0,0,0,0,0,5373952,37.642486
36,bench_p26_wt,bench_p26_wt_random,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,5707712,133998599,749332,12680,3514036156,1534631936,1661992960,3601229253364,37.881186
36,bench_p26_wt,bench_p26_wt_random,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,5707712,0,0,0,0,0,0,3200,37.881272
36,bench_p26_wt,bench_p26_wt_random,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,5707712,0,0,0,0,0,0,608,37.881320
36,bench_p26_wt,bench_p26_wt_random,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,5707712,0,0,0,0,0,0,4368,37.881359
36,bench_p26_wt,bench_p26_wt_random,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,5707712,0,0,0,0,0,0,5373952,37.881393
35,bench_p26_wt,bench_p26_wt_random,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,9562816,125877230,1544713,13476,3445926191,1581786112,1766326272,3601536043645,38.432588
35,bench_p26_wt,bench_p26_wt_random,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,9562816,0,0,0,0,0,0,3200,38.432671
35,bench_p26_wt,bench_p26_wt_random,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,9562816,0,0,0,0,0,0,608,38.432698
35,bench_p26_wt,bench_p26_wt_random,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,9562816,0,0,0,0,0,0,2320,38.432720
35,bench_p26_wt,bench_p26_wt_random,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,9562816,0,0,0,0,0,0,5373952,38.432749
