i,suite,case,DISK_GEOMETRY,NO_SET,DISK_SIZE,FS,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,CHUNK,SIM_TIME,FILE_SIZE,SEED,SIM_SIZE,SIZE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,32768,usage,4567104,0,0,0,0,0,0,4620288,8.233185
21,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,9.358427
21,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,stack,7800256,0,0,0,0,0,0,3296,9.358496
21,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,ctx,7800256,0,0,0,0,0,0,608,9.366909
21,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,heap,7800256,0,0,0,0,0,0,784,9.366985
21,bench_p26_wt,bench_p26_wt_random,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,usage,7800256,0,0,0,0,0,0,4820992,9.367033
30,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,write,64232256,6207258790,1897616,57517,6207258790,222942364,235589632,3600003248516,51.347089
30,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,stack,64232256,0,0,0,0,0,0,3488,51.347194
30,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,ctx,64232256,0,0,0,0,0,0,848,51.347245
30,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,heap,64232256,0,0,0,0,0,0,784,51.347292
30,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,4096,usage,64232256,0,0,0,0,0,0,31965184,51.347335
31,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,write,58906240,9441009656,1794717,55560,9441009656,216870567,227573760,3600002778149,114.308156
31,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,stack,58906240,0,0,0,0,0,0,3488,114.308259
31,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,ctx,58906240,0,0,0,0,0,0,848,114.308310
31,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,heap,58906240,0,0,0,0,0,0,784,114.308357
31,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,8192,usage,58906240,0,0,0,0,0,0,32137216,114.308399
32,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,write,52481728,14486582513,1654351,52328,14486582513,205004608,214335488,3600000216168,123.394923
32,bench_p26_wt,bench_p26_wt_many,0,1,134217728,33,0,0,32768,64,3600000000000,64,42,0,2097152,16384,stack,52481728,0,0,0,0,0,0,3488,123.395029
