i,suite,case,SEED,SIM_TIME,CHUNK,FILE_SIZE,FS,SKIP_WARMUP,NO_SET,FILE_COUNT,DISK_GEOMETRY,SIM_SIZE,SIZE,NO_FRUNCATE,DISK_SIZE,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,heap,18368,0,0,0,0,0,0,784,27.888246
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,usage,18368,0,0,0,0,0,0,2101248,27.888289
33,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,write,18304,786147328,1111211,69620,786147328,284431376,285163520,3614283154992,27.987664
33,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,stack,18304,0,0,0,0,0,0,1984,27.987765
33,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,ctx,18304,0,0,0,0,0,0,384,27.987832
33,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,heap,18304,0,0,0,0,0,0,784,27.987879
33,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,256,usage,18304,0,0,0,0,0,0,2101248,27.987922
31,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,write,18368,632404160,1117250,69998,632404160,285977229,286711808,3627588664439,28.065075
31,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,stack,18368,0,0,0,0,0,0,1984,28.065170
31,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,ctx,18368,0,0,0,0,0,0,384,28.065223
31,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,heap,18368,0,0,0,0,0,0,784,28.065269
31,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,64,usage,18368,0,0,0,0,0,0,2101248,28.065313
