i,suite,case,FS,CHUNK,FILE_SIZE,FILE_COUNT,SKIP_WARMUP,SEED,NO_FRUNCATE,SIM_SIZE,NO_SET,SIM_TIME,SIZE,DISK_SIZE,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_random,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,ctx,9233024,0,0,0,0,0,0,608,15.609021
36,bench_p26_wt,bench_p26_wt_random,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,heap,9233024,0,0,0,0,0,0,784,15.609069
36,bench_p26_wt,bench_p26_wt_random,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,usage,9233024,0,0,0,0,0,0,618496,15.609120
37,bench_p26_wt,bench_p26_wt_random,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,write,8084672,789558091,2074771,60762,789558091,218016649,248881152,3600106946531,15.749481
37,bench_p26_wt,bench_p26_wt_random,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,stack,8084672,0,0,0,0,0,0,3248,15.749582
37,bench_p26_wt,bench_p26_wt_random,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,ctx,8084672,0,0,0,0,0,0,608,15.749634
37,bench_p26_wt,bench_p26_wt_random,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,heap,8084672,0,0,0,0,0,0,784,15.749680
37,bench_p26_wt,bench_p26_wt_random,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,usage,8084672,0,0,0,0,0,0,1200128,15.749734
39,bench_p26_wt,bench_p26_wt_random,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,16.623956
39,bench_p26_wt,bench_p26_wt_random,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,stack,7800256,0,0,0,0,0,0,3296,16.624095
39,bench_p26_wt,bench_p26_wt_random,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,ctx,7800256,0,0,0,0,0,0,608,16.632396
39,bench_p26_wt,bench_p26_wt_random,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,heap,7800256,0,0,0,0,0,0,784,16.632459
39,bench_p26_wt,bench_p26_wt_random,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,usage,7800256,0,0,0,0,0,0,4820992,16.632502
38,bench_p26_wt,bench_p26_wt_random,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,write,7947968,808047921,2057321,60900,808047921,218399334,249446400,3600081391674,16.713129
38,bench_p26_wt,bench_p26_wt_random,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,stack,7947968,0,0,0,0,0,0,3248,16.713206
38,bench_p26_wt,bench_p26_wt_random,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,ctx,7947968,0,0,0,0,0,0,608,16.713250
38,bench_p26_wt,bench_p26_wt_random,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,heap,7947968,0,0,0,0,0,0,784,16.713287
38,bench_p26_wt,bench_p26_wt_random,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,usage,7947968,0,0,0,0,0,0,2400256,16.713320
40,bench_p26_wt,bench_p26_wt_random,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,write,7782080,857588379,2004570,61326,857588379,216905029,251191296,3600096893527,13.310001
40,bench_p26_wt,bench_p26_wt_random,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,stack,7782080,0,0,0,0,0,0,3248,13.310089
40,bench_p26_wt,bench_p26_wt_random,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,ctx,7782080,0,0,0,0,0,0,608,13.310153
40,bench_p26_wt,bench_p26_wt_random,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,heap,7782080,0,0,0,0,0,0,784,13.310210
40,bench_p26_wt,bench_p26_wt_random,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,usage,7782080,0,0,0,0,0,0,9601024,13.310265
41,bench_p26_wt,bench_p26_wt_random,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,write,7681472,892038880,1944481,61833,892038880,213975348,253267968,3600190276828,12.758267
41,bench_p26_wt,bench_p26_wt_random,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,stack,7681472,0,0,0,0,0,0,3296,12.758347
41,bench_p26_wt,bench_p26_wt_random,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,ctx,7681472,0,0,0,0,0,0,608,12.758385
41,bench_p26_wt,bench_p26_wt_random,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,heap,7681472,0,0,0,0,0,0,784,12.758418
41,bench_p26_wt,bench_p26_wt_random,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,usage,7681472,0,0,0,0,0,0,18980864,12.758448
42,bench_p26_wt,bench_p26_wt_random,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,write,7553216,925880511,1958079,61683,925880511,203998794,252653568,3600045529686,11.950386
42,bench_p26_wt,bench_p26_wt_random,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,stack,7553216,0,0,0,0,0,0,3248,11.950462
42,bench_p26_wt,bench_p26_wt_random,33,64,64,262144,0,42,0,0,1,3600000000000,16777216,134217728,0,ctx,7553216,0,0,0,0,0,0,608,11.958772
