i,suite,case,SIZE,FS,DISK_GEOMETRY,SEED,DISK_SIZE,SIM_SIZE,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,CHUNK,NO_SET,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
39,bench_p26_wt,bench_p26_wt_random,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,usage,13076096,0,0,0,0,0,0,5373952,45.053586
37,bench_p26_wt,bench_p26_wt_random,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,write,24002624,102786813,3753666,21600,3014491322,1921876992,2831155200,3600223014350,46.825412
37,bench_p26_wt,bench_p26_wt_random,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,stack,24002624,0,0,0,0,0,0,3280,46.832654
37,bench_p26_wt,bench_p26_wt_random,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,ctx,24002624,0,0,0,0,0,0,608,46.832715
37,bench_p26_wt,bench_p26_wt_random,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,heap,24002624,0,0,0,0,0,0,1296,46.832756
37,bench_p26_wt,bench_p26_wt_random,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,usage,24002624,0,0,0,0,0,0,1703936,46.832789
36,bench_p26_wt,bench_p26_wt_random,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,write,30366656,97186633,4212092,29634,3152211277,2156591104,3884187648,3600005211319,50.564042
36,bench_p26_wt,bench_p26_wt_random,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,stack,30366656,0,0,0,0,0,0,3312,50.564148
36,bench_p26_wt,bench_p26_wt_random,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,ctx,30366656,0,0,0,0,0,0,608,50.564204
36,bench_p26_wt,bench_p26_wt_random,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,heap,30366656,0,0,0,0,0,0,1296,50.564252
36,bench_p26_wt,bench_p26_wt_random,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,usage,30366656,0,0,0,0,0,0,1310720,50.564298
35,bench_p26_wt,bench_p26_wt_random,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,write,36625728,94548234,4372273,41212,3183109588,2238603776,5401739264,3600094684348,50.884434
35,bench_p26_wt,bench_p26_wt_random,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,stack,36625728,0,0,0,0,0,0,3312,50.884548
35,bench_p26_wt,bench_p26_wt_random,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,ctx,36625728,0,0,0,0,0,0,608,50.884603
35,bench_p26_wt,bench_p26_wt_random,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,heap,36625728,0,0,0,0,0,0,1296,50.884651
35,bench_p26_wt,bench_p26_wt_random,131072,32,1,42,134217728,0,3600000000000,64,1,2048,64,0,0,usage,36625728,0,0,0,0,0,0,786432,50.884696
34,bench_p26_wt,bench_p26_wt_random,65536,32,1,42,134217728,0,3600000000000,64,1,1024,64,0,0,write,41926272,93580561,4317732,60938,3133925913,2210678784,7987265536,3600003586011,51.578753
34,bench_p26_wt,bench_p26_wt_random,65536,32,1,42,134217728,0,3600000000000,64,1,1024,64,0,0,stack,41926272,0,0,0,0,0,0,3312,51.578857
34,bench_p26_wt,bench_p26_wt_random,65536,32,1,42,134217728,0,3600000000000,64,1,1024,64,0,0,ctx,41926272,0,0,0,0,0,0,608,51.578911
34,bench_p26_wt,bench_p26_wt_random,65536,32,1,42,134217728,0,3600000000000,64,1,1024,64,0,0,heap,41926272,0,0,0,0,0,0,1296,51.578958
34,bench_p26_wt,bench_p26_wt_random,65536,32,1,42,134217728,0,3600000000000,64,1,1024,64,0,0,usage,41926272,0,0,0,0,0,0,1441792,51.579019
30,bench_p26_wt,bench_p26_wt_random,4096,32,1,42,134217728,0,3600000000000,64,1,64,64,0,0,write,135706688,96805886,4344964,17046,3131800999,2224621568,2234253312,3600002607973,53.466144
30,bench_p26_wt,bench_p26_wt_random,4096,32,1,42,134217728,0,3600000000000,64,1,64,64,0,0,stack,135706688,0,0,0,0,0,0,3280,53.466244
30,bench_p26_wt,bench_p26_wt_random,4096,32,1,42,134217728,0,3600000000000,64,1,64,64,0,0,ctx,135706688,0,0,0,0,0,0,608,53.466295
30,bench_p26_wt,bench_p26_wt_random,4096,32,1,42,134217728,0,3600000000000,64,1,64,64,0,0,heap,135706688,0,0,0,0,0,0,1296,53.466340
30,bench_p26_wt,bench_p26_wt_random,4096,32,1,42,134217728,0,3600000000000,64,1,64,64,0,0,usage,135706688,0,0,0,0,0,0,655360,53.466383
33,bench_p26_wt,bench_p26_wt_random,32768,32,1,42,134217728,0,3600000000000,64,1,512,64,0,0,write,46592256,91938378,4329536,80104,3114089237,2216722432,10499391488,3600014418575,54.446114
33,bench_p26_wt,bench_p26_wt_random,32768,32,1,42,134217728,0,3600000000000,64,1,512,64,0,0,stack,46592256,0,0,0,0,0,0,3312,54.446211
33,bench_p26_wt,bench_p26_wt_random,32768,32,1,42,134217728,0,3600000000000,64,1,512,64,0,0,ctx,46592256,0,0,0,0,0,0,608,54.446263
33,bench_p26_wt,bench_p26_wt_random,32768,32,1,42,134217728,0,3600000000000,64,1,512,64,0,0,heap,46592256,0,0,0,0,0,0,1296,54.446307
