i,suite,case,FS,SIM_SIZE,SIM_TIME,SEED,SIZE,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,DISK_GEOMETRY,CHUNK,NO_SET,CRYSTAL_THRESH,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,ctx,23378368,0,0,0,0,0,0,608,30.792790
29,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,heap,23378368,0,0,0,0,0,0,784,30.792853
29,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,usage,23378368,0,0,0,0,0,0,28672,30.792903
30,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,write,21859520,602541019,2085815,60820,602541019,236372141,249118720,3600003953679,31.209406
30,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,stack,21859520,0,0,0,0,0,0,3312,31.209538
30,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,ctx,21859520,0,0,0,0,0,0,608,31.209595
30,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,heap,21859520,0,0,0,0,0,0,784,31.209663
30,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4096,134217728,0,64,0,64,0,64,0,-1,usage,21859520,0,0,0,0,0,0,36864,31.209714
32,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,write,21211712,646638617,2070149,60920,646638617,236759438,249528320,3600006676594,31.224379
32,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,stack,21211712,0,0,0,0,0,0,3312,31.224517
32,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,ctx,21211712,0,0,0,0,0,0,608,31.224576
32,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,heap,21211712,0,0,0,0,0,0,784,31.224625
32,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,16384,134217728,0,256,0,64,0,64,0,-1,usage,21211712,0,0,0,0,0,0,77824,31.224671
31,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,write,21215040,642953015,2063074,60986,642953015,237034014,249798656,3600003475154,31.844385
31,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,stack,21215040,0,0,0,0,0,0,3312,31.844493
31,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,ctx,21215040,0,0,0,0,0,0,608,31.844554
31,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,heap,21215040,0,0,0,0,0,0,784,31.844604
31,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,8192,134217728,0,128,0,64,0,64,0,-1,usage,21215040,0,0,0,0,0,0,45056,31.844650
33,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,write,20364224,703719426,2032244,61207,703719426,238197938,250703872,3600065002886,32.327493
33,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,stack,20364224,0,0,0,0,0,0,3312,32.327612
33,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,ctx,20364224,0,0,0,0,0,0,608,32.335941
33,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,heap,20364224,0,0,0,0,0,0,784,32.336008
33,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,32768,134217728,0,512,0,64,0,64,0,-1,usage,20364224,0,0,0,0,0,0,126976,32.336071
37,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,write,17003584,886884734,2167701,59841,886884734,232816046,245108736,3600021333658,33.478171
37,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,stack,17003584,0,0,0,0,0,0,3312,33.478276
37,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,ctx,17003584,0,0,0,0,0,0,608,33.478332
37,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,heap,17003584,0,0,0,0,0,0,784,33.478381
37,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,usage,17003584,0,0,0,0,0,0,1974272,33.478429
34,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,write,17787392,806237025,2202085,59607,806237025,231893331,244150272,3600006209361,34.033486
34,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,stack,17787392,0,0,0,0,0,0,3312,34.033596
34,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,ctx,17787392,0,0,0,0,0,0,608,34.033652
34,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,heap,17787392,0,0,0,0,0,0,784,34.033699
34,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,usage,17787392,0,0,0,0,0,0,270336,34.033745
36,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,write,16938240,870739711,2167922,59857,870739711,233003918,245174272,3600187509090,34.337818
36,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,stack,16938240,0,0,0,0,0,0,3312,34.337921
36,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,ctx,16938240,0,0,0,0,0,0,608,34.337974
36,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,heap,16938240,0,0,0,0,0,0,784,34.338019
36,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,usage,16938240,0,0,0,0,0,0,974848,34.338062
35,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,write,17229312,837701533,2188201,59703,837701533,232305579,244543488,3600037116217,34.433469
35,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,stack,17229312,0,0,0,0,0,0,3312,34.433567
35,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,ctx,17229312,0,0,0,0,0,0,608,34.433619
35,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,heap,17229312,0,0,0,0,0,0,784,34.433682
35,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,usage,17229312,0,0,0,0,0,0,507904,34.433738
38,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,write,16632960,935896651,2135981,60079,935896651,233734747,246083584,3600016885625,35.124921
38,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,stack,16632960,0,0,0,0,0,0,3312,35.125017
38,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,ctx,16632960,0,0,0,0,0,0,608,35.125068
38,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,heap,16632960,0,0,0,0,0,0,784,35.125112
38,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,usage,16632960,0,0,0,0,0,0,3850240,35.125154
39,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,write,15950080,1036906950,2132387,60023,1036906950,233118552,245854208,3600087605112,35.720085
39,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,stack,15950080,0,0,0,0,0,0,3312,35.720191
39,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,ctx,15950080,0,0,0,0,0,0,608,35.720238
39,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,heap,15950080,0,0,0,0,0,0,784,35.720281
39,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2097152,134217728,0,32768,0,64,0,64,0,-1,usage,15950080,0,0,0,0,0,0,7729152,35.720320
40,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,write,15438784,1080346014,2244776,58987,1080346014,227531877,241610752,3600070399023,22.551806
40,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,stack,15438784,0,0,0,0,0,0,3312,22.551914
40,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,ctx,15438784,0,0,0,0,0,0,608,22.551978
40,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,heap,15438784,0,0,0,0,0,0,784,22.552019
40,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,usage,15438784,0,0,0,0,0,0,15036416,22.552058
41,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,8388608,134217728,0,131072,0,64,0,64,0,-1,write,16408128,1122643618,2274994,58682,1122643618,223459289,240361472,3600051401835,21.707086
41,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,8388608,134217728,0,131072,0,64,0,64,0,-1,stack,16408128,0,0,0,0,0,0,3312,21.707178
