i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8388608,42,0,0,131072,usage,284844800,0,0,0,0,0,0,8056832,3.165610
27,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,33554432,42,0,0,524288,write,284914240,295105502,1115131,69704,295105502,285471768,285507584,3600009638264,3.495065
27,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,33554432,42,0,0,524288,stack,284914240,0,0,0,0,0,0,2000,3.495123
27,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,33554432,42,0,0,524288,ctx,284914240,0,0,0,0,0,0,400,3.495159
27,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,33554432,42,0,0,524288,heap,284914240,0,0,0,0,0,0,784,3.495189
27,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,33554432,42,0,0,524288,usage,284914240,0,0,0,0,0,0,16531456,3.495216
26,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16777216,42,0,0,262144,write,284899968,290879358,1115083,69708,290879358,285457404,285523968,3600001108068,2.800403
26,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16777216,42,0,0,262144,stack,284899968,0,0,0,0,0,0,2000,2.800473
26,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16777216,42,0,0,262144,ctx,284899968,0,0,0,0,0,0,400,2.809073
26,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16777216,42,0,0,262144,heap,284899968,0,0,0,0,0,0,784,2.809142
26,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,16777216,42,0,0,262144,usage,284899968,0,0,0,0,0,0,16515072,2.809191
