i,suite,case,SEED,FILE_COUNT,FILE_SIZE,SIZE,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,SIM_SIZE,NO_SET,SKIP_WARMUP,NO_FRUNCATE,FS,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_random,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,usage,8084672,0,0,0,0,0,0,1200128,16.157462
38,bench_p26_wt,bench_p26_wt_random,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,write,7947968,808047921,2057321,60900,808047921,218399334,249446400,3600081391674,16.208539
38,bench_p26_wt,bench_p26_wt_random,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,stack,7947968,0,0,0,0,0,0,3248,16.208632
38,bench_p26_wt,bench_p26_wt_random,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,ctx,7947968,0,0,0,0,0,0,608,16.208716
38,bench_p26_wt,bench_p26_wt_random,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,heap,7947968,0,0,0,0,0,0,784,16.208755
38,bench_p26_wt,bench_p26_wt_random,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,usage,7947968,0,0,0,0,0,0,2400256,16.208789
39,bench_p26_wt,bench_p26_wt_random,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,16.993315
39,bench_p26_wt,bench_p26_wt_random,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,stack,7800256,0,0,0,0,0,0,3296,16.993409
39,bench_p26_wt,bench_p26_wt_random,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,ctx,7800256,0,0,0,0,0,0,608,16.993456
39,bench_p26_wt,bench_p26_wt_random,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,heap,7800256,0,0,0,0,0,0,784,16.993495
39,bench_p26_wt,bench_p26_wt_random,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,usage,7800256,0,0,0,0,0,0,4820992,16.993536
40,bench_p26_wt,bench_p26_wt_random,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,write,7782080,857588379,2004570,61326,857588379,216905029,251191296,3600096893527,13.427745
40,bench_p26_wt,bench_p26_wt_random,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,stack,7782080,0,0,0,0,0,0,3248,13.427843
40,bench_p26_wt,bench_p26_wt_random,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,ctx,7782080,0,0,0,0,0,0,608,13.436184
40,bench_p26_wt,bench_p26_wt_random,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,heap,7782080,0,0,0,0,0,0,784,13.436244
40,bench_p26_wt,bench_p26_wt_random,42,65536,64,4194304,134217728,0,3600000000000,0,0,0,0,3,64,usage,7782080,0,0,0,0,0,0,9601024,13.436281
41,bench_p26_wt,bench_p26_wt_random,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,write,7681472,892038880,1944481,61833,892038880,213975348,253267968,3600190276828,12.276565
41,bench_p26_wt,bench_p26_wt_random,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,stack,7681472,0,0,0,0,0,0,3296,12.276643
41,bench_p26_wt,bench_p26_wt_random,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,ctx,7681472,0,0,0,0,0,0,608,12.276685
41,bench_p26_wt,bench_p26_wt_random,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,heap,7681472,0,0,0,0,0,0,784,12.276716
41,bench_p26_wt,bench_p26_wt_random,42,131072,64,8388608,134217728,0,3600000000000,0,0,0,0,3,64,usage,7681472,0,0,0,0,0,0,18980864,12.276744
42,bench_p26_wt,bench_p26_wt_random,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,write,7553216,925880511,1958079,61683,925880511,203998794,252653568,3600045529686,11.660090
42,bench_p26_wt,bench_p26_wt_random,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,stack,7553216,0,0,0,0,0,0,3248,11.660161
42,bench_p26_wt,bench_p26_wt_random,42,262144,64,16777216,134217728,0,3600000000000,0,0,0,0,3,64,ctx,7553216,0,0,0,0,0,0,608,11.660195
