i,suite,case,NO_FRUNCATE,SEED,DISK_GEOMETRY,SIM_TIME,CHUNK,NO_SET,FILE_SIZE,SKIP_WARMUP,SIM_SIZE,SIZE,FS,CRYSTAL_THRESH,DISK_SIZE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,stack,49392512,0,0,0,0,0,0,3312,69.019184
35,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,ctx,49392512,0,0,0,0,0,0,608,69.019233
35,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,heap,49392512,0,0,0,0,0,0,1296,69.019275
35,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,usage,49392512,0,0,0,0,0,0,1048576,69.019313
37,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,write,47238720,108551267,3227608,12650,3660087488,1652535296,1658060800,3600003907136,69.085610
37,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,stack,47238720,0,0,0,0,0,0,3312,69.085699
37,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,ctx,47238720,0,0,0,0,0,0,608,69.085745
37,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,heap,47238720,0,0,0,0,0,0,1296,69.085784
37,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,524288,31,-1,134217728,8192,usage,47238720,0,0,0,0,0,0,2621440,69.085822
34,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,write,54699456,102392791,3768193,14760,4022593896,1929314816,1934622720,3600016468152,69.420265
34,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,stack,54699456,0,0,0,0,0,0,3312,69.420352
34,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,ctx,54699456,0,0,0,0,0,0,608,69.420392
34,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,heap,54699456,0,0,0,0,0,0,1296,69.420424
34,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,usage,54699456,0,0,0,0,0,0,917504,69.420456
31,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,write,121232576,98625701,4181503,16397,3078332361,2140929536,2149187584,3600002631147,69.433138
