i,suite,case,SIZE,FS,SEED,SKIP_WARMUP,FILE_SIZE,NO_SET,DISK_SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SIM_SIZE,DISK_GEOMETRY,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_linear,4194304,33,42,0,64,1,134217728,65536,3600000000000,0,0,1,64,usage,4499331648,0,0,0,0,0,0,3801088,47.650584
38,bench_p26_wt,bench_p26_wt_random,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,write,16735744,111697230,2980261,14899,2770021903,1525893632,1952841728,3600622237981,39.666145
38,bench_p26_wt,bench_p26_wt_random,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,stack,16735744,0,0,0,0,0,0,3280,39.666277
38,bench_p26_wt,bench_p26_wt_random,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,ctx,16735744,0,0,0,0,0,0,608,39.666331
38,bench_p26_wt,bench_p26_wt_random,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,heap,16735744,0,0,0,0,0,0,1296,39.666379
38,bench_p26_wt,bench_p26_wt_random,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,usage,16735744,0,0,0,0,0,0,2883584,39.666424
39,bench_p26_wt,bench_p26_wt_random,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,41.533794
39,bench_p26_wt,bench_p26_wt_random,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,stack,13076096,0,0,0,0,0,0,3120,41.533896
39,bench_p26_wt,bench_p26_wt_random,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,ctx,13076096,0,0,0,0,0,0,608,41.533957
39,bench_p26_wt,bench_p26_wt_random,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,heap,13076096,0,0,0,0,0,0,1296,41.534003
39,bench_p26_wt,bench_p26_wt_random,2097152,33,42,0,64,1,134217728,32768,3600000000000,0,0,1,64,usage,13076096,0,0,0,0,0,0,5373952,41.534048
