probe,ORDER,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
create,0,138,0.000128222,0.000128222,0.000128222
create,0,1380,0.000185174,0.000185174,0.000185174
create,0,1381,0.000175682,0.000175682,0.000175682
create,0,1382,0.000177264,0.000177264,0.000177264
create,0,1383,0.000177264,0.000177264,0.000177264
create,0,1384,0.000186756,0.000186756,0.000186756
create,0,1385,0.000185174,0.000185174,0.000185174
create,0,1386,0.000185174,0.000185174,0.000185174
create,0,1387,0.000175682,0.000175682,0.000175682
create,0,1388,0.000186756,0.000186756,0.000186756
create,0,1389,0.000185174,0.000185174,0.000185174
create,0,139,0.00011873,0.00011873,0.00011873
create,0,1390,0.000185174,0.000185174,0.000185174
create,0,1391,0.000185174,0.000185174,0.000185174
create,0,1392,0.000194666,0.000194666,0.000194666
create,0,1393,0.000193084,0.000193084,0.000193084
create,0,1394,0.000193084,0.000193084,0.000193084
create,0,1395,0.000183592,0.000183592,0.000183592
create,0,1396,0.000185174,0.000185174,0.000185174
create,0,1397,0.000185174,0.000185174,0.000185174
create,0,1398,0.000185174,0.000185174,0.000185174
create,0,1399,0.000185174,0.000185174,0.000185174
create,0,14,8.5508e-05,8.5508e-05,8.5508e-05
create,0,140,0.000129804,0.000129804,0.000129804
create,0,1400,0.000194666,0.000194666,0.000194666
create,0,1401,0.000193084,0.000193084,0.000193084
create,0,1402,0.000193084,0.000193084,0.000193084
create,0,1403,0.000183592,0.000183592,0.000183592
create,0,1404,0.000194666,0.000194666,0.000194666
create,0,1405,0.000193084,0.000193084,0.000193084
create,0,1406,0.000193084,0.000193084,0.000193084
create,0,1407,0.000193084,0.000193084,0.000193084
create,0,1408,0.000202576,0.000202576,0.000202576
create,0,1409,0.000202576,0.000202576,0.000202576
create,0,141,0.000128222,0.000128222,0.000128222
create,0,1410,0.000202576,0.000202576,0.000202576
create,0,1411,0.000193084,0.000193084,0.000193084
create,0,1412,0.000193084,0.000193084,0.000193084
create,0,1413,0.000183592,0.000183592,0.000183592
create,0,1414,0.000175682,0.000175682,0.000175682
create,0,1415,0.000169354,0.000169354,0.000169354
create,0,1416,0.000180428,0.000180428,0.000180428
create,0,1417,0.000178846,0.000178846,0.000178846
create,0,1418,0.000178846,0.000178846,0.000178846
create,0,1419,0.000169354,0.000169354,0.000169354
create,0,142,0.000128222,0.000128222,0.000128222
create,0,1420,0.000180428,0.000180428,0.000180428
create,0,1421,0.000178846,0.000178846,0.000178846
create,0,1422,0.000178846,0.000178846,0.000178846
create,0,1423,0.000178846,0.000178846,0.000178846
create,0,1424,0.000188338,0.000188338,0.000188338
create,0,1425,0.000186756,0.000186756,0.000186756
create,0,1426,0.000188338,0.000188338,0.000188338
create,0,1427,0.000180428,0.000180428,0.000180428
create,0,1428,0.00018201,0.00018201,0.00018201
create,0,1429,0.00018201,0.00018201,0.00018201
create,0,143,0.000128222,0.000128222,0.000128222
create,0,1430,0.00018201,0.00018201,0.00018201
create,0,1431,0.00018201,0.00018201,0.00018201
create,0,1432,0.000191502,0.000191502,0.000191502
create,0,1433,0.00018992,0.00018992,0.00018992
create,0,1434,0.00018992,0.00018992,0.00018992
create,0,1435,0.000180428,0.000180428,0.000180428
create,0,1436,0.000191502,0.000191502,0.000191502
create,0,1437,0.00018992,0.00018992,0.00018992
create,0,1438,0.00018992,0.00018992,0.00018992
create,0,1439,0.00018992,0.00018992,0.00018992
create,0,144,0.000137714,0.000137714,0.000137714
create,0,1440,0.000199412,0.000199412,0.000199412
create,0,1441,0.000199412,0.000199412,0.000199412
create,0,1442,0.000199412,0.000199412,0.000199412
create,0,1443,0.00018992,0.00018992,0.00018992
create,0,1444,0.00018992,0.00018992,0.00018992
create,0,1445,0.000180428,0.000180428,0.000180428
create,0,1446,0.00018201,0.00018201,0.00018201
create,0,1447,0.00018201,0.00018201,0.00018201
