probe,BLOCK_SIZE,n,SEED,bench_simtime
commit,1048576,1646,0,0.000176048
commit,1048576,1647,0,0.00016137
commit,1048576,1648,0,0.000170422
commit,1048576,1649,0,0.00015126
commit,1048576,165,0,0.000120584
commit,1048576,1650,0,0.000140626
commit,1048576,1651,0,0.000157148
commit,1048576,1652,0,0.000164974
commit,1048576,1653,0,0.00016664
commit,1048576,1654,0,0.00017191
commit,1048576,1655,0,0.00015961
commit,1048576,1656,0,0.000174634
commit,1048576,1657,0,0.000167698
commit,1048576,1658,0,0.000152402
commit,1048576,1659,0,0.000169102
commit,1048576,166,0,0.000119264
commit,1048576,1660,0,0.00015917
commit,1048576,1661,0,0.00016181
commit,1048576,1662,0,0.000177012
commit,1048576,1663,0,0.000167604
commit,1048576,1664,0,0.000163738
commit,1048576,1665,0,0.00016884
commit,1048576,1666,0,0.000147656
commit,1048576,1667,0,0.000172884
commit,1048576,1668,0,0.000162324
commit,1048576,1669,0,0.00015785
commit,1048576,167,0,0.000111794
commit,1048576,1670,0,0.00016752
commit,1048576,1671,0,0.000160752
commit,1048576,1672,0,0.000174728
commit,1048576,1673,0,0.000159348
commit,1048576,1674,0,0.00015126
commit,1048576,1675,0,0.000161632
commit,1048576,1676,0,0.000170244
commit,1048576,1677,0,0.00017675
commit,1048576,1678,0,0.000166818
commit,1048576,1679,0,0.000191868
commit,1048576,168,0,0.000121904
commit,1048576,1680,0,0.00017411
commit,1048576,1681,0,0.00017147
commit,1048576,1682,0,0.0001662
commit,1048576,1683,0,0.000150118
commit,1048576,1684,0,0.000171742
commit,1048576,1685,0,0.00015038
commit,1048576,1686,0,0.000161192
commit,1048576,1687,0,0.000172968
commit,1048576,1688,0,0.00017587
commit,1048576,1689,0,0.000173586
commit,1048576,169,0,0.000121464
commit,1048576,1690,0,0.00017279
commit,1048576,1691,0,0.000149678
commit,1048576,1692,0,0.0001684
commit,1048576,1693,0,0.000149678
commit,1048576,1694,0,0.000146598
