probe,BLOCK_SIZE,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
commit,1048576,1352,0.000148264,0.000148264,0.000148264
commit,1048576,1353,0.000154686,0.000154686,0.000154686
commit,1048576,1354,0.00016928,0.00016928,0.00016928
commit,1048576,1355,0.00015741,0.00015741,0.00015741
commit,1048576,1356,0.000163916,0.000163916,0.000163916
commit,1048576,1357,0.000165498,0.000165498,0.000165498
commit,1048576,1358,0.00018334,0.00018334,0.00018334
commit,1048576,1359,0.000155126,0.000155126,0.000155126
commit,1048576,136,0.000121024,0.000121024,0.000121024
commit,1048576,1360,0.00017807,0.00017807,0.00017807
commit,1048576,1361,0.000171564,0.000171564,0.000171564
commit,1048576,1362,0.00016049,0.00016049,0.00016049
commit,1048576,1363,0.000169804,0.000169804,0.000169804
commit,1048576,1364,0.000161632,0.000161632,0.000161632
commit,1048576,1365,0.000157588,0.000157588,0.000157588
commit,1048576,1366,0.00016796,0.00016796,0.00016796
commit,1048576,1367,0.000147918,0.000147918,0.000147918
commit,1048576,1368,0.000161632,0.000161632,0.000161632
commit,1048576,1369,0.000145896,0.000145896,0.000145896
commit,1048576,137,0.000128494,0.000128494,0.000128494
commit,1048576,1370,0.000167698,0.000167698,0.000167698
commit,1048576,1371,0.000169542,0.000169542,0.000169542
commit,1048576,1372,0.000186682,0.000186682,0.000186682
commit,1048576,1373,0.00017543,0.00017543,0.00017543
commit,1048576,1374,0.000158992,0.000158992,0.000158992
commit,1048576,1375,0.000145456,0.000145456,0.000145456
commit,1048576,1376,0.000157588,0.000157588,0.000157588
commit,1048576,1377,0.000177892,0.000177892,0.000177892
commit,1048576,1378,0.000170244,0.000170244,0.000170244
commit,1048576,1379,0.000182816,0.000182816,0.000182816
commit,1048576,138,0.000126294,0.000126294,0.000126294
commit,1048576,1380,0.00016752,0.00016752,0.00016752
commit,1048576,1381,0.000145634,0.000145634,0.000145634
commit,1048576,1382,0.000155126,0.000155126,0.000155126
commit,1048576,1383,0.000156268,0.000156268,0.000156268
commit,1048576,1384,0.000176834,0.000176834,0.000176834
commit,1048576,1385,0.000170422,0.000170422,0.000170422
commit,1048576,1386,0.000158028,0.000158028,0.000158028
commit,1048576,1387,0.000182114,0.000182114,0.000182114
commit,1048576,1388,0.000165058,0.000165058,0.000165058
commit,1048576,1389,0.000166556,0.000166556,0.000166556
commit,1048576,139,0.000112234,0.000112234,0.000112234
commit,1048576,1390,0.000172884,0.000172884,0.000172884
commit,1048576,1391,0.000164356,0.000164356,0.000164356
commit,1048576,1392,0.000156886,0.000156886,0.000156886
commit,1048576,1393,0.000164618,0.000164618,0.000164618
commit,1048576,1394,0.000170422,0.000170422,0.000170422
commit,1048576,1395,0.00017455,0.00017455,0.00017455
commit,1048576,1396,0.000155126,0.000155126,0.000155126
commit,1048576,1397,0.000179034,0.000179034,0.000179034
commit,1048576,1398,0.000165676,0.000165676,0.000165676
commit,1048576,1399,0.000165058,0.000165058,0.000165058
commit,1048576,14,8.9552e-05,8.9552e-05,8.9552e-05
commit,1048576,140,0.000129374,0.000129374,0.000129374
commit,1048576,1400,0.000176048,0.000176048,0.000176048
commit,1048576,1401,0.000182198,0.000182198,0.000182198
commit,1048576,1402,0.00016796,0.00016796,0.00016796
commit,1048576,1403,0.000182198,0.000182198,0.000182198
commit,1048576,1404,0.000167782,0.000167782,0.000167782
commit,1048576,1405,0.000178248,0.000178248,0.000178248
commit,1048576,1406,0.0001684,0.0001684,0.0001684
commit,1048576,1407,0.000165058,0.000165058,0.000165058
commit,1048576,1408,0.000182554,0.000182554,0.000182554
commit,1048576,1409,0.000163476,0.000163476,0.000163476
commit,1048576,141,0.000116802,0.000116802,0.000116802
commit,1048576,1410,0.00017631,0.00017631,0.00017631
commit,1048576,1411,0.000174906,0.000174906,0.000174906
commit,1048576,1412,0.000166818,0.000166818,0.000166818
commit,1048576,1413,0.000154068,0.000154068,0.000154068
commit,1048576,1414,0.000184838,0.000184838,0.000184838
commit,1048576,1415,0.00018554,0.00018554,0.00018554
commit,1048576,1416,0.000155828,0.000155828,0.000155828
commit,1048576,1417,0.000183696,0.000183696,0.000183696
commit,1048576,1418,0.000185184,0.000185184,0.000185184
commit,1048576,1419,0.000146954,0.000146954,0.000146954
commit,1048576,142,0.000126912,0.000126912,0.000126912
commit,1048576,1420,0.000177452,0.000177452,0.000177452
commit,1048576,1421,0.00016181,0.00016181,0.00016181
commit,1048576,1422,0.000164796,0.000164796,0.000164796
commit,1048576,1423,0.00017411,0.00017411,0.00017411
commit,1048576,1424,0.000181936,0.000181936,0.000181936
commit,1048576,1425,0.00016884,0.00016884,0.00016884
commit,1048576,1426,0.000164618,0.000164618,0.000164618
commit,1048576,1427,0.000166378,0.000166378,0.000166378
commit,1048576,1428,0.00016972,0.00016972,0.00016972
commit,1048576,1429,0.000169982,0.000169982,0.000169982
commit,1048576,143,0.000122344,0.000122344,0.000122344
commit,1048576,1430,0.000157148,0.000157148,0.000157148
commit,1048576,1431,0.00015829,0.00015829,0.00015829
commit,1048576,1432,0.000176572,0.000176572,0.000176572
commit,1048576,1433,0.000165676,0.000165676,0.000165676
commit,1048576,1434,0.000169982,0.000169982,0.000169982
commit,1048576,1435,0.000176572,0.000176572,0.000176572
commit,1048576,1436,0.00017675,0.00017675,0.00017675
commit,1048576,1437,0.000183958,0.000183958,0.000183958
commit,1048576,1438,0.00016884,0.00016884,0.00016884
commit,1048576,1439,0.000158028,0.000158028,0.000158028
commit,1048576,144,0.000120144,0.000120144,0.000120144
commit,1048576,1440,0.000168662,0.000168662,0.000168662
