i,suite,case,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,CHUNK,SEED,SKIP_WARMUP,FS,SIM_SIZE,DISK_SIZE,FILE_COUNT,SIZE,DISK_SIM,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,78528,0,0,0,0,0,0,784,4.450782
36,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,78528,0,0,0,0,0,0,786432,4.450824
34,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,298560,1384993,572664,4666,292440619,144925487,305790976,3600389407530,6.227273
34,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,298560,0,0,0,0,0,0,1856,6.227373
34,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,298560,0,0,0,0,0,0,400,6.227435
34,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,298560,0,0,0,0,0,0,784,6.227478
34,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,298560,0,0,0,0,0,0,458752,6.227520
33,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,593856,1629983,606204,9299,307843785,151952422,304709632,3600242500156,6.537531
33,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,593856,0,0,0,0,0,0,1856,6.537626
33,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,593856,0,0,0,0,0,0,400,6.537675
33,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,593856,0,0,0,0,0,0,784,6.537716
33,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,593856,0,0,0,0,0,0,688128,6.537755
