i,suite,case,SIM_SIZE,DISK_SIM,DISK_GEOMETRY,CRYSTAL_DIV,NO_FRUNCATE,DISK_SIZE,FS,FILE_SIZE,BLOCK_SIZE,CHUNK,FILE_COUNT,SIZE,SKIP_WARMUP,SIM_TIME,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,stack,24157184,0,0,0,0,0,0,3168,12.342413
37,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,ctx,24157184,0,0,0,0,0,0,528,12.342452
37,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,heap,24157184,0,0,0,0,0,0,784,12.342486
37,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,usage,24157184,0,0,0,0,0,0,3670016,12.342516
30,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,write,15115136,71384008,2091218,70000,1018816490,258756433,286720000,3600011256606,14.306690
30,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,stack,15115136,0,0,0,0,0,0,3168,14.306763
30,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,ctx,15115136,0,0,0,0,0,0,528,14.306800
30,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,heap,15115136,0,0,0,0,0,0,784,14.306830
30,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,4096,64,32768,2097152,0,3600000000000,42,usage,15115136,0,0,0,0,0,0,2203648,14.306861
31,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,write,16624640,67833189,2247205,34941,1001417853,262599365,286236672,3600084988142,14.593376
31,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,stack,16624640,0,0,0,0,0,0,3168,14.593434
31,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,ctx,16624640,0,0,0,0,0,0,528,14.593465
31,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,heap,16624640,0,0,0,0,0,0,784,14.593491
31,bench_p26_wt,bench_p26_wt_logging,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,usage,16624640,0,0,0,0,0,0,2170880,14.593516
