i,suite,case,DISK_GEOMETRY,BLOCK_SIZE,SIZE,FS,NO_FRUNCATE,DISK_SIM,CHUNK,CRYSTAL_DIV,SEED,FILE_SIZE,FILE_COUNT,SIM_TIME,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,54158656,0,0,0,0,0,0,784,14.937560
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,54158656,0,0,0,0,0,0,7340032,14.937607
33,bench_p26_wt,bench_p26_wt_logging,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,37417792,54144285,2950651,8718,537398867,278209118,285671424,3600009043420,15.006543
33,bench_p26_wt,bench_p26_wt_logging,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,37417792,0,0,0,0,0,0,3072,15.006624
33,bench_p26_wt,bench_p26_wt_logging,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,37417792,0,0,0,0,0,0,528,15.006673
33,bench_p26_wt,bench_p26_wt_logging,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,37417792,0,0,0,0,0,0,784,15.006716
33,bench_p26_wt,bench_p26_wt_logging,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,37417792,0,0,0,0,0,0,2293760,15.006757
34,bench_p26_wt,bench_p26_wt_logging,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,39058752,50888650,3052628,4361,496478193,278328098,285802496,3600000399812,15.757542
34,bench_p26_wt,bench_p26_wt_logging,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,39058752,0,0,0,0,0,0,3168,15.757629
34,bench_p26_wt,bench_p26_wt_logging,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,39058752,0,0,0,0,0,0,528,15.757678
34,bench_p26_wt,bench_p26_wt_logging,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,39058752,0,0,0,0,0,0,784,15.757721
34,bench_p26_wt,bench_p26_wt_logging,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,39058752,0,0,0,0,0,0,2424832,15.757764
36,bench_p26_wt,bench_p26_wt_logging,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,46206336,39722288,3580590,1093,348522489,277337761,286523392,3600435221974,16.078789
