i,suite,case,CRYSTAL_THRESH,DISK_SIM,SIM_TIME,SIZE,DISK_GEOMETRY,FS,FILE_COUNT,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SEED,FILE_SIZE,DISK_SIZE,BLOCK_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,stack,10074688,0,0,0,0,0,0,3200,20.381351
34,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,ctx,10074688,0,0,0,0,0,0,528,20.381406
34,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,heap,10074688,0,0,0,0,0,0,784,20.381454
34,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,usage,10074688,0,0,0,0,0,0,8126464,20.381500
36,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,write,9905280,31606224,1577715,1100,643190722,257447826,288358400,3600915472012,20.710295
36,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,stack,9905280,0,0,0,0,0,0,3200,20.710393
36,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,ctx,9905280,0,0,0,0,0,0,528,20.710445
36,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,heap,9905280,0,0,0,0,0,0,784,20.710490
36,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,usage,9905280,0,0,0,0,0,0,8912896,20.710533
37,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,write,9855040,31290562,1583329,550,635718223,257058300,288358400,3600000341920,21.115417
37,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,stack,9855040,0,0,0,0,0,0,3200,21.115553
37,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,ctx,9855040,0,0,0,0,0,0,528,21.115596
37,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,heap,9855040,0,0,0,0,0,0,784,21.115630
37,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,usage,9855040,0,0,0,0,0,0,9961472,21.115661
32,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,write,9017984,60178190,1749578,17518,1008516156,257108410,287014912,3600231974092,21.585594
32,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,stack,9017984,0,0,0,0,0,0,3200,21.585675
32,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,ctx,9017984,0,0,0,0,0,0,528,21.585714
32,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,heap,9017984,0,0,0,0,0,0,784,21.585744
32,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,usage,9017984,0,0,0,0,0,0,7798784,21.585773
38,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,write,9832064,31428134,1580181,275,634229586,257096232,288358400,3600000804864,21.880186
38,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,stack,9832064,0,0,0,0,0,0,3200,21.880253
38,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,ctx,9832064,0,0,0,0,0,0,528,21.880289
38,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,heap,9832064,0,0,0,0,0,0,784,21.880327
38,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,1048576,0,usage,9832064,0,0,0,0,0,0,9437184,21.880357
30,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,write,10112192,137952883,2086063,69282,1879024172,257422493,283779072,3600000235798,29.435412
30,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,stack,10112192,0,0,0,0,0,0,3232,29.435479
30,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,ctx,10112192,0,0,0,0,0,0,528,29.435511
30,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,heap,10112192,0,0,0,0,0,0,784,29.435536
30,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,usage,10112192,0,0,0,0,0,0,6983680,29.435560
