i,suite,case,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SIM_SIZE,FILE_COUNT,SEED,DISK_SIZE,SIZE,SIM_TIME,DISK_SIM,DISK_GEOMETRY,BLOCK_SIZE,FS,FILE_SIZE,CRYSTAL_DIV,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,stack,2404032,0,0,0,0,0,0,3152,6.454679
27,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,ctx,2404032,0,0,0,0,0,0,512,6.454724
27,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,heap,2404032,0,0,0,0,0,0,784,6.454759
27,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,usage,2404032,0,0,0,0,0,0,5767168,6.454791
26,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,write,3077952,17717307,1055013,2229,411286272,237365156,292159488,3601627262840,6.951997
26,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,stack,3077952,0,0,0,0,0,0,3152,6.952083
26,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,ctx,3077952,0,0,0,0,0,0,512,6.952125
26,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,heap,3077952,0,0,0,0,0,0,784,6.952158
26,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,usage,3077952,0,0,0,0,0,0,4718592,6.952188
23,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,write,6319616,35851493,1277914,17690,619827852,247432762,289832960,3600336642124,9.819038
23,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,stack,6319616,0,0,0,0,0,0,3152,9.819116
23,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,ctx,6319616,0,0,0,0,0,0,512,9.819168
23,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,heap,6319616,0,0,0,0,0,0,784,9.819203
23,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,16384,34,64,32,usage,6319616,0,0,0,0,0,0,4227072,9.819234
22,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,write,7932096,63245644,1376002,35188,915300538,250753836,288260096,3600130004728,9.892118
22,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,stack,7932096,0,0,0,0,0,0,3104,9.892179
22,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,ctx,7932096,0,0,0,0,0,0,512,9.892215
22,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,heap,7932096,0,0,0,0,0,0,784,9.892244
22,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,8192,34,64,32,usage,7932096,0,0,0,0,0,0,4382720,9.892270
21,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,write,8913408,83406782,1714279,70086,1192105292,251924106,287072256,3600003951788,13.072003
21,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,stack,8913408,0,0,0,0,0,0,3152,13.072075
21,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,ctx,8913408,0,0,0,0,0,0,512,13.080498
21,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,heap,8913408,0,0,0,0,0,0,784,13.080572
21,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,4096,34,64,32,usage,8913408,0,0,0,0,0,0,4702208,13.080621
35,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,write,41704512,43770402,3247464,2184,411816438,278090448,286261248,3601277816784,10.600530
35,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,stack,41704512,0,0,0,0,0,0,3168,10.600636
35,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,ctx,41704512,0,0,0,0,0,0,528,10.600689
35,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,heap,41704512,0,0,0,0,0,0,784,10.600737
35,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,131072,34,64,32,usage,41704512,0,0,0,0,0,0,2752512,10.600782
33,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,write,36537344,52689405,2895483,8719,530326814,278379455,285704192,3600355623682,10.899332
33,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,stack,36537344,0,0,0,0,0,0,3168,10.899439
33,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,ctx,36537344,0,0,0,0,0,0,528,10.907728
33,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,heap,36537344,0,0,0,0,0,0,784,10.907784
33,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,usage,36537344,0,0,0,0,0,0,2293760,10.907832
37,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,write,48439680,37711805,3761661,547,329906909,276873814,286785536,3601836548604,11.481173
37,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,stack,48439680,0,0,0,0,0,0,3168,11.481273
37,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,ctx,48439680,0,0,0,0,0,0,528,11.481326
37,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,heap,48439680,0,0,0,0,0,0,784,11.481383
37,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,usage,48439680,0,0,0,0,0,0,4718592,11.481428
38,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,write,52245184,32242839,4055981,274,263847258,276340982,287309824,3604111050308,14.479144
38,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,stack,52245184,0,0,0,0,0,0,3168,14.479254
38,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,ctx,52245184,0,0,0,0,0,0,528,14.479306
38,bench_p26_wt,bench_p26_wt_logging,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,heap,52245184,0,0,0,0,0,0,784,14.479351
