i,suite,case,N,DISK_SIZE,DISK_GEOMETRY,SIZE,DISK_SIM,SEED,FS,STEP,BLOCK_SIZE,BLOCK_COUNT,ORDER,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,51,296,51,0,2236,2782,0,4490564,0.005162
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,53,106,53,0,106,3221,0,5099862,0.005611
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,55,110,55,0,110,3363,0,5324666,0.006532
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,52,299,52,0,2249,2843,0,4587586,0.005237
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,54,108,54,0,108,3292,0,5212264,0.005687
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,56,112,56,0,112,3440,0,5446560,0.006606
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,53,302,53,0,2262,2905,0,4686190,0.005311
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,55,110,55,0,110,3363,0,5324666,0.005765
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,57,114,57,0,114,3516,0,5566872,0.006684
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,54,308,54,0,2308,2967,0,4786114,0.005389
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,56,112,56,0,112,3440,0,5446560,0.005837
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,58,116,58,0,116,3592,0,5687184,0.006756
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,55,315,55,0,2365,3033,0,4892806,0.005459
