i,suite,case,CHUNK,BLOCK_SIZE,FILE_COUNT,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,FS,SIM_TIME,DISK_SIZE,SEED,SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,30923776,0,0,0,0,0,0,99060,1.497990
27,bench_p26_wt,bench_p26_wt_random,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,30923776,0,0,0,0,0,0,10311968,1.498045
24,bench_p26_wt,bench_p26_wt_random,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,30724608,274902016,1117212,69704,274902016,286006272,285507584,3600044320768,1.585991
24,bench_p26_wt,bench_p26_wt_random,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,30724608,0,0,0,0,0,0,8688,1.586083
24,bench_p26_wt,bench_p26_wt_random,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,30724608,0,0,0,0,0,0,7152,1.586130
24,bench_p26_wt,bench_p26_wt_random,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,30724608,0,0,0,0,0,0,123452,1.586166
24,bench_p26_wt,bench_p26_wt_random,64,32768,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,30724608,0,0,0,0,0,0,9632944,1.586203
22,bench_p26_wt,bench_p26_wt_random,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,29746496,266037248,1117512,69710,266037248,286083072,285532160,3600081219584,1.554503
22,bench_p26_wt,bench_p26_wt_random,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,29746496,0,0,0,0,0,0,8736,1.554583
22,bench_p26_wt,bench_p26_wt_random,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,29746496,0,0,0,0,0,0,7152,1.554617
22,bench_p26_wt,bench_p26_wt_random,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,29746496,0,0,0,0,0,0,321812,1.554645
22,bench_p26_wt,bench_p26_wt_random,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,29746496,0,0,0,0,0,0,12747328,1.554672
38,bench_p26_wt,bench_p26_wt_many,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,4513920,192676864,1165544,69376,192676864,298379264,284164096,3601569828864,40.216555
38,bench_p26_wt,bench_p26_wt_many,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,4513920,0,0,0,0,0,0,8944,40.216772
38,bench_p26_wt,bench_p26_wt_many,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,4513920,0,0,0,0,0,0,7408,40.216885
38,bench_p26_wt,bench_p26_wt_many,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,4513920,0,0,0,0,0,0,7024452,40.216969
38,bench_p26_wt,bench_p26_wt_many,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,4513920,0,0,0,0,0,0,70227872,40.217038
32,bench_p26_wt,bench_p26_wt_many,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,10712000,181679104,1145400,69536,181679104,293222400,284819456,3600171544576,68.351825
