i,suite,case,SIZE,NO_SET,FS,CHUNK,DISK_SIZE,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,BLOCK_SIZE,FILE_COUNT,NO_FRUNCATE,SEED,SIM_TIME,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,heap,606464,0,0,0,0,0,0,2696,99.966453
34,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,usage,606464,0,0,0,0,0,0,11806139,99.966478
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,write,98051008,16354973,11655961,6820,8367306423,5967852032,893911040,3600028284309,20.780355
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,stack,98051008,0,0,0,0,0,0,1344,20.780485
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,ctx,98051008,0,0,0,0,0,0,384,20.780548
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,heap,98051008,0,0,0,0,0,0,2696,20.780599
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,usage,98051008,0,0,0,0,0,0,8121161,20.780649
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,write,99688320,14866007,11851626,6936,7606594290,6068032512,909115392,3600001494006,20.954152
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,stack,99688320,0,0,0,0,0,0,1344,20.954264
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,ctx,99688320,0,0,0,0,0,0,384,20.954326
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,heap,99688320,0,0,0,0,0,0,2696,20.954374
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,usage,99688320,0,0,0,0,0,0,8678988,20.954421
