i,suite,case,FILE_COUNT,DISK_GEOMETRY,NO_SET,SIZE,CHUNK,SIM_TIME,BLOCK_SIZE,DISK_SIZE,FILE_SIZE,SEED,FS,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,stack,659371456,0,0,0,0,0,0,8688,19.304841
23,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,ctx,659371456,0,0,0,0,0,0,7152,19.304874
23,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,heap,659371456,0,0,0,0,0,0,189140,19.304902
23,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,usage,659371456,0,0,0,0,0,0,9586320,19.304928
21,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,write,602010112,10592296,12110315,1513653,5423255552,6200481280,6199922688,3600000971264,19.468005
21,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,stack,602010112,0,0,0,0,0,0,8688,19.468091
21,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,ctx,602010112,0,0,0,0,0,0,7152,19.468136
21,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,heap,602010112,0,0,0,0,0,0,587828,19.468163
21,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,usage,602010112,0,0,0,0,0,0,19280144,19.468188
22,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,write,640395904,11267896,12023601,751408,5769162752,6156083712,6155534336,3600001361408,19.430887
22,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,stack,640395904,0,0,0,0,0,0,8736,19.430976
22,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,ctx,640395904,0,0,0,0,0,0,7152,19.431014
22,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,heap,640395904,0,0,0,0,0,0,321812,19.431046
22,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,usage,640395904,0,0,0,0,0,0,12747328,19.431075
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,write,659372800,11602076,11980704,187183,5940262912,6134120448,6133612544,3600000870400,19.442688
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,stack,659372800,0,0,0,0,0,0,8688,19.442762
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,ctx,659372800,0,0,0,0,0,0,7152,19.442796
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,heap,659372800,0,0,0,0,0,0,123452,19.442822
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,usage,659372800,0,0,0,0,0,0,9632944,19.442847
38,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,write,142652992,8870140,11275004,87960,9083023360,11545604096,11529093120,3600000278528,1366.119763
38,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,stack,142652992,0,0,0,0,0,0,8944,1366.120018
38,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,ctx,142652992,0,0,0,0,0,0,7408,1366.120134
38,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,heap,142652992,0,0,0,0,0,0,7937668,1366.120224
38,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,1048576,134217728,64,42,5,0,0,0,usage,142652992,0,0,0,0,0,0,78902720,1366.120300
34,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,write,228827072,8397067,12392522,96687,4299298304,6344971264,6336479232,3600000605696,1763.618702
34,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,stack,228827072,0,0,0,0,0,0,8944,1763.618937
34,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,ctx,228827072,0,0,0,0,0,0,7408,1763.619068
34,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,heap,228827072,0,0,0,0,0,0,7940412,1763.619179
34,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,65536,134217728,64,42,5,0,0,0,usage,228827072,0,0,0,0,0,0,43708144,1763.619277
31,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,write,237080192,7936293,12451668,777189,4063382016,6375254016,6366732288,3600001365504,1838.833151
31,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,stack,237080192,0,0,0,0,0,0,8992,1838.833427
31,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,ctx,237080192,0,0,0,0,0,0,7408,1838.833562
31,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,heap,237080192,0,0,0,0,0,0,8055620,1838.833698
31,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,8192,134217728,64,42,5,0,0,0,usage,237080192,0,0,0,0,0,0,46891472,1838.833807
37,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,write,230386304,8450124,12385353,48364,4326463488,6341300736,6339166208,3600000019968,1864.335022
37,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,stack,230386304,0,0,0,0,0,0,8944,1864.335270
37,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,ctx,230386304,0,0,0,0,0,0,7408,1864.335410
37,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,heap,230386304,0,0,0,0,0,0,7950188,1864.335534
37,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,usage,230386304,0,0,0,0,0,0,45374704,1864.335696
30,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,write,227013696,7378052,12523324,1563302,3777562624,6411941888,6403284992,3600000507904,1923.451191
30,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,stack,227013696,0,0,0,0,0,0,8944,1923.451372
30,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,ctx,227013696,0,0,0,0,0,0,7408,1923.451477
30,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,heap,227013696,0,0,0,0,0,0,8190564,1923.451546
30,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,4096,134217728,64,42,5,0,0,0,usage,227013696,0,0,0,0,0,0,53926240,1923.451603
35,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,write,229816256,8426349,12388754,48330,4314290688,6343042048,6334709760,3600000440832,1935.918379
35,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,stack,229816256,0,0,0,0,0,0,8944,1935.918535
35,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,ctx,229816256,0,0,0,0,0,0,7408,1935.926970
35,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,heap,229816256,0,0,0,0,0,0,7935476,1935.927055
35,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,usage,229816256,0,0,0,0,0,0,43666480,1935.927100
32,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,write,238720320,8259580,12410171,387302,4228904960,6354007552,6345555968,3600001800704,1944.111879
32,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,stack,238720320,0,0,0,0,0,0,8944,1944.111985
32,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,ctx,238720320,0,0,0,0,0,0,7408,1944.112036
32,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,heap,238720320,0,0,0,0,0,0,7988484,1944.112077
32,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,usage,238720320,0,0,0,0,0,0,43487424,1944.112119
36,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,write,230263616,8441647,12386793,48322,4322123264,6342038016,6333661184,3600000450560,1946.739828
36,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,stack,230263616,0,0,0,0,0,0,8944,1946.739924
36,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,ctx,230263616,0,0,0,0,0,0,7408,1946.739969
36,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,heap,230263616,0,0,0,0,0,0,7938276,1946.740007
36,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,usage,230263616,0,0,0,0,0,0,44214560,1946.740046
33,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,write,229926464,8381784,12394481,193406,4291473408,6345974272,6337527808,3600000591360,1952.459920
33,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,stack,229926464,0,0,0,0,0,0,8944,1952.459997
33,bench_p26_wt,bench_p26_wt_many,32768,1,0,2097152,64,3600000000000,32768,134217728,64,42,5,0,0,0,ctx,229926464,0,0,0,0,0,0,7408,1952.460033
