i,suite,case,FS,CHUNK,FILE_COUNT,BLOCK_SIZE,SIM_SIZE,NO_FRUNCATE,FILE_SIZE,DISK_SIZE,NO_SET,SIM_TIME,DISK_GEOMETRY,SKIP_WARMUP,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_many,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,250368,0,0,0,0,0,0,12582912,26.159775
34,bench_p26_wt,bench_p26_wt_many,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,641216,143308252,27499,290,5585959386,14079488,19005440,3635500211502,27.139817
34,bench_p26_wt,bench_p26_wt_many,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,641216,0,0,0,0,0,0,2288,27.139916
34,bench_p26_wt,bench_p26_wt_many,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,641216,0,0,0,0,0,0,640,27.139965
34,bench_p26_wt,bench_p26_wt_many,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,641216,0,0,0,0,0,0,1552,27.140008
34,bench_p26_wt,bench_p26_wt_many,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,641216,0,0,0,0,0,0,6291456,27.140049
36,bench_p26_wt,bench_p26_wt_many,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,492416,145182806,16197,94,6671139410,8292864,12320768,3699153582614,34.331999
36,bench_p26_wt,bench_p26_wt_many,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,492416,0,0,0,0,0,0,2288,34.332114
36,bench_p26_wt,bench_p26_wt_many,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,492416,0,0,0,0,0,0,640,34.332176
36,bench_p26_wt,bench_p26_wt_many,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,492416,0,0,0,0,0,0,1552,34.332220
