i,suite,case,SIZE,NO_SET,BLOCK_SIZE,SKIP_WARMUP,CHUNK,FS,SEED,FILE_COUNT,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_many,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,45625280,0,0,0,0,0,0,784,198.991817
33,bench_p26_wt,bench_p26_wt_many,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,45625280,0,0,0,0,0,0,34537472,198.991859
34,bench_p26_wt,bench_p26_wt_many,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,35531840,35100305988,1139212,38608,35100305988,149951886,158138368,3600000055338,211.238590
34,bench_p26_wt,bench_p26_wt_many,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,35531840,0,0,0,0,0,0,3488,211.238686
34,bench_p26_wt,bench_p26_wt_many,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,35531840,0,0,0,0,0,0,848,211.238732
34,bench_p26_wt,bench_p26_wt_many,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,35531840,0,0,0,0,0,0,784,211.238772
34,bench_p26_wt,bench_p26_wt_many,2097152,0,65536,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,35531840,0,0,0,0,0,0,34209792,211.238812
35,bench_p26_wt,bench_p26_wt_many,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,25080640,48020617685,843278,29792,48020617685,113741812,122028032,3601004900964,280.847771
35,bench_p26_wt,bench_p26_wt_many,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,25080640,0,0,0,0,0,0,3488,280.847867
35,bench_p26_wt,bench_p26_wt_many,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,25080640,0,0,0,0,0,0,848,280.847912
35,bench_p26_wt,bench_p26_wt_many,2097152,0,131072,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,25080640,0,0,0,0,0,0,784,280.847952
