i,suite,case,NO_SET,BLOCK_SIZE,SIZE,FILE_COUNT,CHUNK,DISK_SIZE,FILE_SIZE,SEED,SIM_SIZE,FS,SIM_TIME,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,22113152,87740936,5038015,36108,3476687522,2579463680,4732747776,3601157608454,37.119476
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,22113152,0,0,0,0,0,0,3280,37.119538
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,22113152,0,0,0,0,0,0,608,37.119568
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,22113152,0,0,0,0,0,0,1296,37.119592
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,22113152,0,0,0,0,0,0,6815744,37.119614
30,bench_p26_wt,bench_p26_wt_many,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,29390848,136868216,667923,96413,3002000096,341976576,394907648,3600017016992,24.607160
30,bench_p26_wt,bench_p26_wt_many,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,29390848,0,0,0,0,0,0,3248,24.607262
30,bench_p26_wt,bench_p26_wt_many,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,29390848,0,0,0,0,0,0,848,24.607311
30,bench_p26_wt,bench_p26_wt_many,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,29390848,0,0,0,0,0,0,1296,24.607355
30,bench_p26_wt,bench_p26_wt_many,0,4096,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,29390848,0,0,0,0,0,0,32591872,24.607414
