i,suite,case,SIM_SIZE,FILE_SIZE,NO_FRUNCATE,DISK_GEOMETRY,FILE_COUNT,FS,NO_SET,SKIP_WARMUP,SIM_TIME,SEED,SIZE,CHUNK,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,stack,9716608,0,0,0,0,0,0,3296,15.002290
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,ctx,9716608,0,0,0,0,0,0,608,15.002345
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,heap,9716608,0,0,0,0,0,0,784,15.002392
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,usage,9716608,0,0,0,0,0,0,176128,15.002437
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,write,9233024,692168565,1903950,62366,692168565,221586297,255451136,3600106767939,15.449776
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,stack,9233024,0,0,0,0,0,0,3248,15.449875
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,ctx,9233024,0,0,0,0,0,0,608,15.449929
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,heap,9233024,0,0,0,0,0,0,784,15.449976
36,bench_p26_wt,bench_p26_wt_random,0,64,0,0,4096,3,0,0,3600000000000,42,262144,64,134217728,usage,9233024,0,0,0,0,0,0,618496,15.450020
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,write,8084672,789558091,2074771,60762,789558091,218016649,248881152,3600106946531,15.595252
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,stack,8084672,0,0,0,0,0,0,3248,15.595351
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,ctx,8084672,0,0,0,0,0,0,608,15.595401
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,heap,8084672,0,0,0,0,0,0,784,15.595446
37,bench_p26_wt,bench_p26_wt_random,0,64,0,0,8192,3,0,0,3600000000000,42,524288,64,134217728,usage,8084672,0,0,0,0,0,0,1200128,15.595500
