i,suite,case,SIM_SIZE,SKIP_WARMUP,SIZE,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,CHUNK,SEED,FS,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_random,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,write,27921920,249832448,1115930,69737,249832448,285678080,285642752,3600007293952,2.269594
35,bench_p26_wt,bench_p26_wt_random,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,stack,27921920,0,0,0,0,0,0,8688,2.269739
35,bench_p26_wt,bench_p26_wt_random,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,ctx,27921920,0,0,0,0,0,0,7152,2.269803
35,bench_p26_wt,bench_p26_wt_random,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,heap,27921920,0,0,0,0,0,0,587828,2.269855
35,bench_p26_wt,bench_p26_wt_random,0,0,131072,2048,0,64,64,42,5,134217728,0,3600000000000,usage,27921920,0,0,0,0,0,0,17230672,2.269901
32,bench_p26_wt,bench_p26_wt_random,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,write,29393792,249925632,1115818,69738,249925632,285649408,285646848,3600010660864,2.229504
32,bench_p26_wt,bench_p26_wt_random,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,stack,29393792,0,0,0,0,0,0,8688,2.229619
32,bench_p26_wt,bench_p26_wt_random,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,ctx,29393792,0,0,0,0,0,0,7152,2.229897
32,bench_p26_wt,bench_p26_wt_random,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,heap,29393792,0,0,0,0,0,0,587828,2.229976
32,bench_p26_wt,bench_p26_wt_random,0,0,16384,256,0,64,64,42,5,134217728,0,3600000000000,usage,29393792,0,0,0,0,0,0,17112128,2.230028
31,bench_p26_wt,bench_p26_wt_random,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,write,31354944,249934336,1115818,69738,249934336,285649408,285646848,3600011009024,2.403131
31,bench_p26_wt,bench_p26_wt_random,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,stack,31354944,0,0,0,0,0,0,8688,2.403227
31,bench_p26_wt,bench_p26_wt_random,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,ctx,31354944,0,0,0,0,0,0,7152,2.403267
31,bench_p26_wt,bench_p26_wt_random,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,heap,31354944,0,0,0,0,0,0,587828,2.403300
31,bench_p26_wt,bench_p26_wt_random,0,0,8192,128,0,64,64,42,5,134217728,0,3600000000000,usage,31354944,0,0,0,0,0,0,17103696,2.403330
38,bench_p26_wt,bench_p26_wt_random,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,write,27762176,249075200,1116778,69730,249075200,285895168,285614080,3600005446656,2.400979
38,bench_p26_wt,bench_p26_wt_random,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,stack,27762176,0,0,0,0,0,0,8688,2.401106
38,bench_p26_wt,bench_p26_wt_random,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,ctx,27762176,0,0,0,0,0,0,7152,2.401161
38,bench_p26_wt,bench_p26_wt_random,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,heap,27762176,0,0,0,0,0,0,587828,2.401208
38,bench_p26_wt,bench_p26_wt_random,0,0,1048576,16384,0,64,64,42,5,134217728,0,3600000000000,usage,27762176,0,0,0,0,0,0,18189936,2.401254
37,bench_p26_wt,bench_p26_wt_random,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,write,27781120,249505792,1116284,69734,249505792,285768704,285630464,3600002598912,2.279162
37,bench_p26_wt,bench_p26_wt_random,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,stack,27781120,0,0,0,0,0,0,8688,2.279284
37,bench_p26_wt,bench_p26_wt_random,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,ctx,27781120,0,0,0,0,0,0,7152,2.279351
37,bench_p26_wt,bench_p26_wt_random,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,heap,27781120,0,0,0,0,0,0,587828,2.279402
37,bench_p26_wt,bench_p26_wt_random,0,0,524288,8192,0,64,64,42,5,134217728,0,3600000000000,usage,27781120,0,0,0,0,0,0,17640368,2.279452
29,bench_p26_wt,bench_p26_wt_random,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,write,49281984,249936896,1115802,69738,249936896,285645312,285646848,3600004631552,2.462387
29,bench_p26_wt,bench_p26_wt_random,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,stack,49281984,0,0,0,0,0,0,8688,2.462491
29,bench_p26_wt,bench_p26_wt_random,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,ctx,49281984,0,0,0,0,0,0,7152,2.462544
29,bench_p26_wt,bench_p26_wt_random,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,heap,49281984,0,0,0,0,0,0,587828,2.462591
29,bench_p26_wt,bench_p26_wt_random,0,0,2048,32,0,64,64,42,5,134217728,0,3600000000000,usage,49281984,0,0,0,0,0,0,17097248,2.462635
28,bench_p26_wt,bench_p26_wt_random,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,write,158895104,249937920,1115802,69738,249937920,285645312,285646848,3600004672512,2.936456
28,bench_p26_wt,bench_p26_wt_random,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,stack,158895104,0,0,0,0,0,0,8688,2.936587
28,bench_p26_wt,bench_p26_wt_random,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,ctx,158895104,0,0,0,0,0,0,7152,2.936651
28,bench_p26_wt,bench_p26_wt_random,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,heap,158895104,0,0,0,0,0,0,587828,2.936700
28,bench_p26_wt,bench_p26_wt_random,0,0,1024,16,0,64,64,42,5,134217728,0,3600000000000,usage,158895104,0,0,0,0,0,0,17096256,2.936746
41,bench_p26_wt,bench_p26_wt_random,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,write,27928512,243011072,1123530,69675,243011072,287623680,285388800,3600022461440,0.998882
41,bench_p26_wt,bench_p26_wt_random,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,stack,27928512,0,0,0,0,0,0,8688,0.998991
41,bench_p26_wt,bench_p26_wt_random,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,ctx,27928512,0,0,0,0,0,0,7152,0.999060
41,bench_p26_wt,bench_p26_wt_random,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,heap,27928512,0,0,0,0,0,0,587828,0.999109
41,bench_p26_wt,bench_p26_wt_random,0,0,8388608,131072,0,64,64,42,5,134217728,0,3600000000000,usage,27928512,0,0,0,0,0,0,25837760,0.999153
42,bench_p26_wt,bench_p26_wt_random,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,write,28021440,236079104,1131242,69612,236079104,289597952,285130752,3600033565696,1.439929
42,bench_p26_wt,bench_p26_wt_random,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,stack,28021440,0,0,0,0,0,0,8688,1.440049
42,bench_p26_wt,bench_p26_wt_random,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,ctx,28021440,0,0,0,0,0,0,7152,1.440110
42,bench_p26_wt,bench_p26_wt_random,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,heap,28021440,0,0,0,0,0,0,587828,1.440158
42,bench_p26_wt,bench_p26_wt_random,0,0,16777216,262144,0,64,64,42,5,134217728,0,3600000000000,usage,28021440,0,0,0,0,0,0,34576288,1.440204
43,bench_p26_wt,bench_p26_wt_random,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,write,27567104,222244864,1146650,69485,222244864,293542400,284610560,3600005483520,1.371988
43,bench_p26_wt,bench_p26_wt_random,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,stack,27567104,0,0,0,0,0,0,8688,1.372068
43,bench_p26_wt,bench_p26_wt_random,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,ctx,27567104,0,0,0,0,0,0,7152,1.372106
43,bench_p26_wt,bench_p26_wt_random,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,heap,27567104,0,0,0,0,0,0,640068,1.372137
43,bench_p26_wt,bench_p26_wt_random,0,0,33554432,524288,0,64,64,42,5,134217728,0,3600000000000,usage,27567104,0,0,0,0,0,0,52029040,1.372165
40,bench_p26_wt,bench_p26_wt_random,0,0,4194304,65536,0,64,64,42,5,134217728,0,3600000000000,write,27820736,246476800,1119674,69707,246476800,286636544,285519872,3600039398400,0.891071
