i,suite,case,SIM_SIZE,NO_FRUNCATE,FILE_COUNT,FS,SIM_TIME,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,DISK_SIZE,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,write,6880128,88055501,2225098,910,45082567900,1139250176,119275520,3600009754708,152.560559
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,stack,6880128,0,0,0,0,0,0,1312,152.560677
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,ctx,6880128,0,0,0,0,0,0,352,152.560735
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,heap,6880128,0,0,0,0,0,0,2696,152.560782
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,4,3600000000000,0,524288,64,64,134217728,1,42,usage,6880128,0,0,0,0,0,0,4173617,152.560827
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,write,4896256,90459390,1907649,904,46313371260,976716288,118489088,3600056516916,117.152046
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,stack,4896256,0,0,0,0,0,0,1312,117.152138
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,ctx,4896256,0,0,0,0,0,0,352,117.152185
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,heap,4896256,0,0,0,0,0,0,2696,117.152221
42,bench_p26_wt,bench_p26_wt_random,0,0,262144,4,3600000000000,0,16777216,64,64,134217728,1,42,usage,4896256,0,0,0,0,0,0,20556327,117.152255
