i,suite,case,CHUNK,FILE_SIZE,FILE_COUNT,SIM_TIME,SEED,NO_FRUNCATE,FS,SKIP_WARMUP,NO_SET,SIM_SIZE,DISK_GEOMETRY,SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,write,213834752,77763013,6056037,23771,3690170339,3100690944,3115712512,3600003040217,53.819247
28,bench_p26_wt,bench_p26_wt_random,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,stack,213834752,0,0,0,0,0,0,3280,53.819320
28,bench_p26_wt,bench_p26_wt_random,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,ctx,213834752,0,0,0,0,0,0,608,53.819359
28,bench_p26_wt,bench_p26_wt_random,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,heap,213834752,0,0,0,0,0,0,1296,53.819467
28,bench_p26_wt,bench_p26_wt_random,64,64,16,3600000000000,42,0,3,0,0,0,1,1024,134217728,usage,213834752,0,0,0,0,0,0,655360,53.819497
42,bench_p26_wt,bench_p26_wt_random,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,write,11501248,114244163,2744932,11813,3023220685,1405405184,1548353536,3600871474231,21.541883
42,bench_p26_wt,bench_p26_wt_random,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,stack,11501248,0,0,0,0,0,0,3200,21.541977
42,bench_p26_wt,bench_p26_wt_random,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,ctx,11501248,0,0,0,0,0,0,608,21.542021
42,bench_p26_wt,bench_p26_wt_random,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,heap,11501248,0,0,0,0,0,0,1296,21.542059
42,bench_p26_wt,bench_p26_wt_random,64,64,262144,3600000000000,42,0,3,0,0,0,1,16777216,134217728,usage,11501248,0,0,0,0,0,0,34078720,21.542095
43,bench_p26_wt,bench_p26_wt_random,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,write,11173504,115857821,2598836,11445,2929180640,1330604032,1500119040,3600094270880,21.192321
43,bench_p26_wt,bench_p26_wt_random,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,stack,11173504,0,0,0,0,0,0,3296,21.192398
43,bench_p26_wt,bench_p26_wt_random,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,ctx,11173504,0,0,0,0,0,0,608,21.192435
43,bench_p26_wt,bench_p26_wt_random,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,heap,11173504,0,0,0,0,0,0,1296,21.192464
43,bench_p26_wt,bench_p26_wt_random,64,64,524288,3600000000000,42,0,3,0,0,0,1,33554432,134217728,usage,11173504,0,0,0,0,0,0,68812800,21.192492
