i,suite,case,FS,SEED,SIM_SIZE,FILE_COUNT,SIZE,NO_FRUNCATE,SIM_TIME,CHUNK,DISK_GEOMETRY,FILE_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_linear,4,42,0,524288,33554432,0,3600000000000,64,0,64,0,134217728,stack,16231744,0,0,0,0,0,0,1296,92.065557
27,bench_p26_wt,bench_p26_wt_linear,4,42,0,524288,33554432,0,3600000000000,64,0,64,0,134217728,ctx,16231744,0,0,0,0,0,0,336,92.065591
27,bench_p26_wt,bench_p26_wt_linear,4,42,0,524288,33554432,0,3600000000000,64,0,64,0,134217728,heap,16231744,0,0,0,0,0,0,1160,92.065619
27,bench_p26_wt,bench_p26_wt_linear,4,42,0,524288,33554432,0,3600000000000,64,0,64,0,134217728,usage,16231744,0,0,0,0,0,0,29317569,92.065644
30,bench_p26_wt,bench_p26_wt_random,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,write,3591040,70708407552,980584,8417,70708407552,33608089,34476032,3600087658075,163.912383
30,bench_p26_wt,bench_p26_wt_random,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,stack,3591040,0,0,0,0,0,0,1312,163.920889
30,bench_p26_wt,bench_p26_wt_random,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,ctx,3591040,0,0,0,0,0,0,352,163.920979
30,bench_p26_wt,bench_p26_wt_random,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,heap,3591040,0,0,0,0,0,0,1160,163.921038
30,bench_p26_wt,bench_p26_wt_random,4,42,0,64,4096,0,3600000000000,64,0,64,0,134217728,usage,3591040,0,0,0,0,0,0,12823897,163.921105
35,bench_p26_wt,bench_p26_wt_random,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,write,1175232,83553752832,326957,2834,83553752832,11428903,11608064,3600718104037,165.378325
35,bench_p26_wt,bench_p26_wt_random,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,stack,1175232,0,0,0,0,0,0,1312,165.378549
35,bench_p26_wt,bench_p26_wt_random,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,ctx,1175232,0,0,0,0,0,0,352,165.378620
35,bench_p26_wt,bench_p26_wt_random,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,heap,1175232,0,0,0,0,0,0,1160,165.378672
35,bench_p26_wt,bench_p26_wt_random,4,42,0,2048,131072,0,3600000000000,64,0,64,0,134217728,usage,1175232,0,0,0,0,0,0,12952831,165.378731
38,bench_p26_wt,bench_p26_wt_random,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,write,943552,83850929920,301262,2786,83850929920,12135107,11411456,3600177380985,165.484488
38,bench_p26_wt,bench_p26_wt_random,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,stack,943552,0,0,0,0,0,0,1312,165.484682
38,bench_p26_wt,bench_p26_wt_random,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,ctx,943552,0,0,0,0,0,0,352,165.484766
38,bench_p26_wt,bench_p26_wt_random,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,heap,943552,0,0,0,0,0,0,1160,165.484821
38,bench_p26_wt,bench_p26_wt_random,4,42,0,16384,1048576,0,3600000000000,64,0,64,0,134217728,usage,943552,0,0,0,0,0,0,13885503,165.484868
33,bench_p26_wt,bench_p26_wt_random,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,write,2088640,78705315584,573733,4932,78705315584,19711655,20201472,3600087154021,165.566968
33,bench_p26_wt,bench_p26_wt_random,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,stack,2088640,0,0,0,0,0,0,1312,165.567091
33,bench_p26_wt,bench_p26_wt_random,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,ctx,2088640,0,0,0,0,0,0,352,165.567155
33,bench_p26_wt,bench_p26_wt_random,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,heap,2088640,0,0,0,0,0,0,1160,165.567205
33,bench_p26_wt,bench_p26_wt_random,4,42,0,512,32768,0,3600000000000,64,0,64,0,134217728,usage,2088640,0,0,0,0,0,0,12853043,165.567249
36,bench_p26_wt,bench_p26_wt_random,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,write,1062400,84022560256,301150,2637,84022560256,10770934,10801152,3600267061058,165.740534
36,bench_p26_wt,bench_p26_wt_random,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,stack,1062400,0,0,0,0,0,0,1312,165.740648
36,bench_p26_wt,bench_p26_wt_random,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,ctx,1062400,0,0,0,0,0,0,352,165.740705
36,bench_p26_wt,bench_p26_wt_random,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,heap,1062400,0,0,0,0,0,0,1160,165.740751
36,bench_p26_wt,bench_p26_wt_random,4,42,0,4096,262144,0,3600000000000,64,0,64,0,134217728,usage,1062400,0,0,0,0,0,0,13086211,165.740794
37,bench_p26_wt,bench_p26_wt_random,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,write,998592,84105228800,294704,2631,84105228800,11001559,10776576,3600728967669,166.390794
37,bench_p26_wt,bench_p26_wt_random,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,stack,998592,0,0,0,0,0,0,1312,166.390914
37,bench_p26_wt,bench_p26_wt_random,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,ctx,998592,0,0,0,0,0,0,352,166.390972
37,bench_p26_wt,bench_p26_wt_random,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,heap,998592,0,0,0,0,0,0,1160,166.391016
37,bench_p26_wt,bench_p26_wt_random,4,42,0,8192,524288,0,3600000000000,64,0,64,0,134217728,usage,998592,0,0,0,0,0,0,13352477,166.391060
34,bench_p26_wt,bench_p26_wt_random,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,write,1407104,82367742976,387994,3345,82367742976,13405828,13701120,3600732197324,166.429232
34,bench_p26_wt,bench_p26_wt_random,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,stack,1407104,0,0,0,0,0,0,1312,166.429328
34,bench_p26_wt,bench_p26_wt_random,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,ctx,1407104,0,0,0,0,0,0,352,166.429390
34,bench_p26_wt,bench_p26_wt_random,4,42,0,1024,65536,0,3600000000000,64,0,64,0,134217728,heap,1407104,0,0,0,0,0,0,1160,166.429434
