i,suite,case,SIM_TIME,FS,SIZE,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,FILE_SIZE,DISK_GEOMETRY,CHUNK,SEED,SIM_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,ctx,1329280,0,0,0,0,0,0,384,20.700704
32,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,heap,1329280,0,0,0,0,0,0,784,20.700764
32,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,usage,1329280,0,0,0,0,0,0,36864,20.700813
33,bench_p26_wt,bench_p26_wt_random,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,write,827456,484029841,944614,71077,484029841,240031428,291131392,3600257773876,23.538331
33,bench_p26_wt,bench_p26_wt_random,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,stack,827456,0,0,0,0,0,0,1984,23.538474
33,bench_p26_wt,bench_p26_wt_random,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,ctx,827456,0,0,0,0,0,0,384,23.538534
33,bench_p26_wt,bench_p26_wt_random,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,heap,827456,0,0,0,0,0,0,784,23.538581
33,bench_p26_wt,bench_p26_wt_random,3600000000000,2,32768,0,0,512,64,0,64,42,0,134217728,usage,827456,0,0,0,0,0,0,53248,23.538626
35,bench_p26_wt,bench_p26_wt_random,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,write,262656,547834538,1067645,69915,547834538,272538407,286371840,3600367304053,25.056830
35,bench_p26_wt,bench_p26_wt_random,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,stack,262656,0,0,0,0,0,0,1984,25.056927
35,bench_p26_wt,bench_p26_wt_random,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,ctx,262656,0,0,0,0,0,0,384,25.056982
35,bench_p26_wt,bench_p26_wt_random,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,heap,262656,0,0,0,0,0,0,784,25.057032
35,bench_p26_wt,bench_p26_wt_random,3600000000000,2,131072,0,0,2048,64,0,64,42,0,134217728,usage,262656,0,0,0,0,0,0,151552,25.057096
