i,suite,case,SKIP_WARMUP,SIZE,DISK_SIZE,SIM_SIZE,DISK_GEOMETRY,NO_FRUNCATE,FILE_COUNT,SIM_TIME,FS,FILE_SIZE,SEED,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_random,0,32768,134217728,0,1,0,512,3600000000000,2,64,42,64,heap,9874240,0,0,0,0,0,0,1552,400.791488
33,bench_p26_wt,bench_p26_wt_random,0,32768,134217728,0,1,0,512,3600000000000,2,64,42,64,usage,9874240,0,0,0,0,0,0,393216,400.791544
35,bench_p26_wt,bench_p26_wt_random,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,write,2611136,21101568,10480042,79824,10741208719,5365781504,10462691328,3600066693277,414.557661
35,bench_p26_wt,bench_p26_wt_random,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,stack,2611136,0,0,0,0,0,0,1840,414.557788
35,bench_p26_wt,bench_p26_wt_random,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,ctx,2611136,0,0,0,0,0,0,384,414.557843
35,bench_p26_wt,bench_p26_wt_random,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,heap,2611136,0,0,0,0,0,0,1552,414.557893
35,bench_p26_wt,bench_p26_wt_random,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,usage,2611136,0,0,0,0,0,0,524288,414.557940
34,bench_p26_wt,bench_p26_wt_random,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,write,5197248,21056090,10473617,81207,10742209582,5362491904,10643963904,3600019303786,448.446073
34,bench_p26_wt,bench_p26_wt_random,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,stack,5197248,0,0,0,0,0,0,1840,448.446182
34,bench_p26_wt,bench_p26_wt_random,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,ctx,5197248,0,0,0,0,0,0,384,448.446235
34,bench_p26_wt,bench_p26_wt_random,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,heap,5197248,0,0,0,0,0,0,1552,448.446281
