i,suite,case,FS,DISK_GEOMETRY,FILE_COUNT,CHUNK,FILE_SIZE,SEED,SIZE,NO_FRUNCATE,SIM_SIZE,SIM_TIME,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,write,462784,88436920872,48032,966,88436920872,2955478,3956736,3600220638754,134.394882
30,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,stack,462784,0,0,0,0,0,0,1520,134.394995
30,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,ctx,462784,0,0,0,0,0,0,592,134.395052
30,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,heap,462784,0,0,0,0,0,0,1160,134.395097
30,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,usage,462784,0,0,0,0,0,0,9621837,134.395139
32,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,write,116864,89648245895,11462,246,89648245895,717156,1007616,3601599398276,134.922218
32,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,stack,116864,0,0,0,0,0,0,1520,134.922332
32,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,ctx,116864,0,0,0,0,0,0,592,134.930626
32,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,heap,116864,0,0,0,0,0,0,1160,134.930700
32,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,usage,116864,0,0,0,0,0,0,26508095,134.930747
35,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,write,19072,90199630281,1845,42,90199630281,115850,172032,3610615592102,136.755156
35,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,stack,19072,0,0,0,0,0,0,1520,136.755258
35,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,ctx,19072,0,0,0,0,0,0,592,136.755310
