i,suite,case,FS,SEED,SKIP_WARMUP,SIM_TIME,FILE_SIZE,NO_SET,DISK_SIZE,CHUNK,DISK_GEOMETRY,SIM_SIZE,SIZE,FILE_COUNT,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,heap,13910720,0,0,0,0,0,0,1296,153.212709
35,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,usage,13910720,0,0,0,0,0,0,34340864,153.212737
38,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,write,13910720,131422090,289033,1186,15432581704,147984896,155451392,3600408449368,152.911175
38,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,stack,13910720,0,0,0,0,0,0,3312,152.911241
38,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,ctx,13910720,0,0,0,0,0,0,848,152.911272
38,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,heap,13910720,0,0,0,0,0,0,1296,152.911297
38,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,usage,13910720,0,0,0,0,0,0,34603008,152.911320
39,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,write,77526400,89116391,5020244,19617,3585966084,2570364928,2571239424,3600001390668,31.155017
39,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,stack,77526400,0,0,0,0,0,0,3296,31.155128
39,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,ctx,77526400,0,0,0,0,0,0,624,31.155174
39,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,heap,77526400,0,0,0,0,0,0,1296,31.155216
39,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,usage,77526400,0,0,0,0,0,0,3014656,31.155259
44,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,write,77799360,89044228,5026998,19643,3584381595,2573822976,2574647296,3600002155905,36.993339
44,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,stack,77799360,0,0,0,0,0,0,3296,36.993431
44,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,ctx,77799360,0,0,0,0,0,0,624,36.993473
44,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,heap,77799360,0,0,0,0,0,0,1296,36.993510
44,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,usage,77799360,0,0,0,0,0,0,3014656,36.993545
40,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,write,77666304,89079490,5023722,19630,3584794666,2572145664,2572943360,3600000646942,44.492687
40,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,stack,77666304,0,0,0,0,0,0,3296,44.492787
40,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,ctx,77666304,0,0,0,0,0,0,624,44.492834
40,bench_p26_wt,bench_p26_wt_logging,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,heap,77666304,0,0,0,0,0,0,1296,44.492874
