i,suite,case,SIM_TIME,SIZE,NO_FRUNCATE,SKIP_WARMUP,DISK_SIZE,SIM_SIZE,SEED,FILE_SIZE,NO_SET,FS,CHUNK,FILE_COUNT,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
42,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,write,15992704,840673598,2659584,55515,840673598,218324755,227389440,3600049528857,10.921921
42,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,stack,15992704,0,0,0,0,0,0,3264,10.922028
42,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,ctx,15992704,0,0,0,0,0,0,624,10.922082
42,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,heap,15992704,0,0,0,0,0,0,784,10.922127
42,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,usage,15992704,0,0,0,0,0,0,2449408,10.922169
43,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,write,15957312,839554529,2654851,55558,839554529,218543307,227565568,3600050054969,12.745843
43,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,stack,15957312,0,0,0,0,0,0,3264,12.745946
43,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,ctx,15957312,0,0,0,0,0,0,624,12.746001
43,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,heap,15957312,0,0,0,0,0,0,784,12.746056
43,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,usage,15957312,0,0,0,0,0,0,2326528,12.746097
