i,suite,case,NO_FRUNCATE,FILE_SIZE,SEED,DISK_GEOMETRY,FS,DISK_SIZE,FILE_COUNT,SIM_SIZE,SIM_TIME,SIZE,SKIP_WARMUP,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,ctx,27764160,0,0,0,0,0,0,7152,11.449741
29,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,heap,27764160,0,0,0,0,0,0,18110516,11.449766
29,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,usage,27764160,0,0,0,0,0,0,548516112,11.449789
32,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,write,8012352,176108032,1145672,69535,176108032,293292032,284815360,3600013860864,48.227884
32,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,stack,8012352,0,0,0,0,0,0,8960,48.228072
32,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,ctx,8012352,0,0,0,0,0,0,7424,48.228165
32,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,heap,8012352,0,0,0,0,0,0,7870788,48.228239
32,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,usage,8012352,0,0,0,0,0,0,44612288,48.228300
33,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,write,9853568,161290240,1146216,69543,161290240,293431296,284848128,3600001454080,53.857299
33,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,stack,9853568,0,0,0,0,0,0,8960,53.857467
33,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,ctx,9853568,0,0,0,0,0,0,7424,53.857552
33,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,heap,9853568,0,0,0,0,0,0,8118468,53.857619
33,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,usage,9853568,0,0,0,0,0,0,53611776,53.857672
35,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,write,10004736,160075776,1146256,69544,160075776,293441536,284852224,3600014073856,55.140622
35,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,stack,10004736,0,0,0,0,0,0,8960,55.140744
35,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,ctx,10004736,0,0,0,0,0,0,7424,55.140791
35,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,heap,10004736,0,0,0,0,0,0,9051812,55.140828
35,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,usage,10004736,0,0,0,0,0,0,104855904,55.140862
36,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,write,10004672,160074752,1146248,69544,160074752,293439488,284852224,3600010792960,58.974486
36,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,stack,10004672,0,0,0,0,0,0,8960,58.974598
36,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,ctx,10004672,0,0,0,0,0,0,7424,58.974644
36,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,heap,10004672,0,0,0,0,0,0,10264228,58.974681
36,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,usage,10004672,0,0,0,0,0,0,173147184,58.974718
37,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,write,10004800,160076800,1146264,69544,160076800,293443584,284852224,3600017354752,59.544236
37,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,stack,10004800,0,0,0,0,0,0,8960,59.544337
37,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,ctx,10004800,0,0,0,0,0,0,7424,59.544379
37,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,heap,10004800,0,0,0,0,0,0,12689060,59.544413
37,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,usage,10004800,0,0,0,0,0,0,309722304,59.544443
34,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,write,9997056,160139776,1146266,69544,160139776,293444096,284852224,3600020683776,60.920231
34,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,stack,9997056,0,0,0,0,0,0,8960,60.920340
34,bench_p26_wt,bench_p26_wt_many,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,ctx,9997056,0,0,0,0,0,0,7424,60.920380
