i,suite,case,SEED,SIM_SIZE,FILE_SIZE,FS,CHUNK,DISK_SIZE,SIM_TIME,SKIP_WARMUP,FILE_COUNT,SIZE,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
39,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,write,5068992,24193229,10207737,79522,10492584156,5226361344,10423107584,3600043710036,192.329318
39,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,stack,5068992,0,0,0,0,0,0,1904,192.329413
39,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,ctx,5068992,0,0,0,0,0,0,400,192.337728
39,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,heap,5068992,0,0,0,0,0,0,1552,192.337792
39,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,usage,5068992,0,0,0,0,0,0,3670016,192.337837
43,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,write,5071872,24104156,10215693,79567,10492656460,5230434816,10429005824,3600009749668,194.325764
43,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,stack,5071872,0,0,0,0,0,0,1904,194.325859
43,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,ctx,5071872,0,0,0,0,0,0,400,194.325907
43,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,heap,5071872,0,0,0,0,0,0,1552,194.325948
43,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,usage,5071872,0,0,0,0,0,0,3670016,194.325994
46,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,write,5070656,24141358,10212303,79547,10493777280,5228699136,10426384384,3600026010240,272.475355
46,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,stack,5070656,0,0,0,0,0,0,2000,272.475454
46,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,ctx,5070656,0,0,0,0,0,0,400,272.475501
46,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,heap,5070656,0,0,0,0,0,0,1552,272.475543
