i,suite,case,FILE_COUNT,FILE_SIZE,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,CHUNK,DISK_SIZE,NO_FRUNCATE,SEED,SIM_TIME,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,write,661742592,11643693,11975376,46774,5961570816,6131392512,6130761728,3600002674176,23.280139
28,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,stack,661742592,0,0,0,0,0,0,8688,23.280223
28,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,ctx,661742592,0,0,0,0,0,0,7152,23.280269
28,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,heap,661742592,0,0,0,0,0,0,819908,23.280299
28,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,usage,661742592,0,0,0,0,0,0,113573648,23.280327
29,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,write,661742080,11643680,11975363,46775,5961564160,6131385856,6130892800,3600000819712,24.313681
29,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,stack,661742080,0,0,0,0,0,0,8688,24.313760
29,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,ctx,661742080,0,0,0,0,0,0,7152,24.322087
29,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,heap,661742080,0,0,0,0,0,0,1610436,24.322135
29,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,usage,661742080,0,0,0,0,0,0,224272976,24.322165
30,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,write,2859904,11601375,11980930,46784,5939904000,6134236160,6132072448,3600012387840,55.986232
30,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,stack,2859904,0,0,0,0,0,0,9072,55.986418
30,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,ctx,2859904,0,0,0,0,0,0,7424,55.986517
30,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,heap,2859904,0,0,0,0,0,0,3669780,55.986627
30,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,usage,2859904,0,0,0,0,0,0,16777216,55.986702
31,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,write,5150912,11552895,11987723,46791,5915082240,6137714176,6132989952,3600126446592,74.961388
31,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,stack,5150912,0,0,0,0,0,0,9072,74.961554
31,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,ctx,5150912,0,0,0,0,0,0,7424,74.961652
31,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,heap,5150912,0,0,0,0,0,0,7039412,74.961725
31,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,usage,5150912,0,0,0,0,0,0,33554432,74.961787
32,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,write,151319616,9516744,12248810,47782,4872572928,6271390720,6262882304,3600000715776,942.606691
32,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,stack,151319616,0,0,0,0,0,0,8960,942.606889
32,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,ctx,151319616,0,0,0,0,0,0,7424,942.607000
32,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,heap,151319616,0,0,0,0,0,0,7914868,942.607089
32,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,usage,151319616,0,0,0,0,0,0,40102160,942.607165
33,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,write,229816256,8426349,12388754,48330,4314290688,6343042048,6334709760,3600000440832,1337.370728
33,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,stack,229816256,0,0,0,0,0,0,8960,1337.370956
33,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,ctx,229816256,0,0,0,0,0,0,7424,1337.371078
33,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,heap,229816256,0,0,0,0,0,0,7935476,1337.371179
33,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,usage,229816256,0,0,0,0,0,0,43666480,1337.371279
37,bench_p26_wt,bench_p26_wt_many,32768,64,0,0,2097152,1,64,2147483648,0,42,3600000000000,5,write,257387904,8043375,12437924,48520,4118208000,6368217088,6359613440,3600000201216,1431.754898
