i,suite,case,FILE_SIZE,SIM_SIZE,SEED,FILE_COUNT,NO_FRUNCATE,DISK_SIZE,FS,SKIP_WARMUP,DISK_GEOMETRY,SIM_TIME,SIZE,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,heap,146240,0,0,0,0,0,0,2696,141.042670
34,bench_p26_wt,bench_p26_wt_many,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,usage,146240,0,0,0,0,0,0,29591789,141.042693
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,write,79888704,11709255,12284571,6572,5812415107,6289700352,861405184,3600001694137,10.300173
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,stack,79888704,0,0,0,0,0,0,1648,10.300281
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,ctx,79888704,0,0,0,0,0,0,384,10.300329
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,heap,79888704,0,0,0,0,0,0,2696,10.300372
36,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,16777216,4,0,1,3600000000000,2097152,64,usage,79888704,0,0,0,0,0,0,2992501,10.300411
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,write,96331712,17887829,11454982,6694,9142055404,5864950784,877395968,3600001325188,15.477363
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,stack,96331712,0,0,0,0,0,0,1344,15.477474
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,ctx,96331712,0,0,0,0,0,0,384,15.477527
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,heap,96331712,0,0,0,0,0,0,2696,15.477574
38,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,67108864,4,0,1,3600000000000,2097152,64,usage,96331712,0,0,0,0,0,0,6040640,15.477617
37,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,write,94371840,14081992,11962465,6826,7155073763,6124782080,894697472,3600710413529,15.548717
37,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,stack,94371840,0,0,0,0,0,0,1648,15.548815
37,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,ctx,94371840,0,0,0,0,0,0,384,15.548862
37,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,heap,94371840,0,0,0,0,0,0,2696,15.548903
37,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,33554432,4,0,1,3600000000000,2097152,64,usage,94371840,0,0,0,0,0,0,3217496,15.548941
39,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,write,89092800,24413343,10596356,6191,12484333739,5425334272,811466752,3600001135793,25.507602
39,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,stack,89092800,0,0,0,0,0,0,1344,25.507696
39,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,ctx,89092800,0,0,0,0,0,0,384,25.507737
39,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,heap,89092800,0,0,0,0,0,0,2696,25.507771
39,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,134217728,4,0,1,3600000000000,2097152,64,usage,89092800,0,0,0,0,0,0,6780163,25.507803
40,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,write,77594624,34997432,9231667,5392,17905332660,4726613504,706740224,3607292359260,28.947279
40,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,stack,77594624,0,0,0,0,0,0,1344,28.947364
40,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,ctx,77594624,0,0,0,0,0,0,384,28.947404
40,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,heap,77594624,0,0,0,0,0,0,2696,28.947436
40,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,268435456,4,0,1,3600000000000,2097152,64,usage,77594624,0,0,0,0,0,0,9149016,28.947465
41,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,write,61536832,49350249,7316001,4277,25256755500,3745792512,560594944,3600235801668,45.061180
41,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,stack,61536832,0,0,0,0,0,0,1344,45.061276
41,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,ctx,61536832,0,0,0,0,0,0,384,45.061381
41,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,heap,61536832,0,0,0,0,0,0,2696,45.061431
41,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,536870912,4,0,1,3600000000000,2097152,64,usage,61536832,0,0,0,0,0,0,16653222,45.061464
42,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,write,43787712,65447779,5198382,3044,33501775529,2661571584,398983168,3600379892363,56.510449
42,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,stack,43787712,0,0,0,0,0,0,1344,56.510524
42,bench_p26_wt,bench_p26_wt_logging,64,0,42,32768,0,1073741824,4,0,1,3600000000000,2097152,64,ctx,43787712,0,0,0,0,0,0,384,56.510558
